character,line,gender
ANNOUNCER,Report to your stations immediately. This is not a drill. We are under attack. We are under attack.,MALE
TONY STARK,Shit!,MALE
STEVE ROGERS,"Language! JARVIS, what's the view from upstairs?",MALE
JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.,MALE
THOR,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.,MALE
NATASHA ROMANOFF,"At long last is lasting a little long, boys.",FEMALE
CLINT BARTON,Yeah. I think we lost the element of surprise.,MALE
TONY STARK,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?""",MALE
STEVE ROGERS,I know.,MALE
STEVE ROGERS,It just slipped out.,MALE
STRUCKER,Who gave the order to attack?,MALE
FORTRESS SOLDIER,"Herr Strucker, it's the Avengers. They landed in the far woods, the perimeter guard panicked.",MALE
STRUCKER,They have to be after the scepter.  Can we hold them?,MALE
FORTRESS SOLDIER,They're the Avengers...,MALE
STRUCKER,Deploy the rest of the tanks.,MALE
FORTRESS SOLDIER,"Yes, sir.",MALE
STRUCKER,Concentrate fire on the weak ones. A hit can make them close ranks. Everything we've accomplished. But we're on the verge of our greatest breakthrough.,MALE
DR. LIST,Then let's show them what we've accomplished. Send out the twins.,MALE
STRUCKER,It's too soon.,MALE
DR. LIST,It's what they signed up for.,MALE
STRUCKER,My men can hold them.,MALE
JARVIS,"Sir, the city is taking fire.",MALE
TONY STARK,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion.",MALE
IRON LEGION,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.,MALE
IRON LEGION,We are here to help.,MALE
STRUCKER,"We will not yield! The Americans sent their circus freaks to test us. We will send them back, in bags. No Surrender!",MALE
SOLDIERS,No Surrender!,MALE
STRUCKER,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been...",MALE
DR. LIST,The twins.,MALE
STRUCKER,They are not ready to take on...,MALE
DR. LIST,"No, no. I mean...",MALE
DR. LIST,The Twins.,MALE
PIETRO MAXIMOFF,You didn't see that coming?,MALE
NATASHA ROMANOFF,Clint!,FEMALE
STEVE ROGERS,We have an enhanced in the field.,MALE
NATASHA ROMANOFF,Clint's hit!,FEMALE
NATASHA ROMANOFF,Somebody want to deal with that bunker?,FEMALE
NATASHA ROMANOFF,Thank you.,FEMALE
STEVE ROGERS,"Stark, we're really need to get inside.",MALE
TONY STARK,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?",MALE
JARVIS,There's a pathway below the north tower.,MALE
TONY STARK,"Great, I wanna poke it with something.",MALE
TONY STARK,"Drawbridge is down, people.",MALE
THOR,The enhanced?,MALE
STEVE ROGERS,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't.",MALE
NATASHA ROMANOFF,"Clint's hit pretty bad, guys. We're gonna need evac.",FEMALE
THOR,I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.,MALE
STEVE ROGERS,Copy that.,MALE
THOR,Looks like they're lining up.,MALE
STEVE ROGERS,"Well, they're excited.",MALE
THOR,Find the scepter.,MALE
TONY STARK,"And for gosh sake, watch your language!",MALE
STEVE ROGERS,That's not going away anytime soon.,MALE
TONY STARK,"Guys, stop, we gotta talk about this.",MALE
TONY STARK,Good talk.,MALE
FORTRESS SOLDIER,No it wasn't.,MALE
TONY STARK,Sentry mode.,MALE
TONY STARK,"Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ.",MALE
NATASHA ROMANOFF,We're locked down out here.,FEMALE
STEVE ROGERS,"Then get to Banner, time for a lullaby.",MALE
TONY STARK,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick.",MALE
JARVIS,The wall to your left...I'm reading steel reinforcement and an air current.,MALE
TONY STARK,"Please be a secret door, please be a secret door, please be a secret door...",MALE
TONY STARK,Yay!,MALE
NATASHA ROMANOFF,"Hey, big guy. The sun's getting real low.",FEMALE
STEVE ROGERS,Baron Strucker. Hydra's number one thug.,MALE
STRUCKER,"Technically, I'm a thug for SHIELD.",MALE
STEVE ROGERS,Well then technically you're unemployed. Where's Loki's scepter?,MALE
STRUCKER,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope.",MALE
STEVE ROGERS,I'll put it right under illegal human experimentation.,MALE
STEVE ROGERS,How many are there?,MALE
STEVE ROGERS,We have a second enhanced. Female. Do not engage.,MALE
STRUCKER,You'll have to be faster than...,MALE
STEVE ROGERS,"Guys, I got Strucker.",MALE
TONY STARK,"Yeah, I got...something bigger.",MALE
TONY STARK,"Thor, I got eyes on the prize.",MALE
STEVE ROGERS,You could have saved us.,MALE
STEVE ROGERS,Why didn't you do more?,MALE
PIETRO MAXIMOFF,We're just gonna let them take it?,MALE
NATASHA ROMANOFF,"Hey, the lullaby worked better than ever.",FEMALE
BRUCE BANNER,Just wasn't expecting the Code Green.,MALE
NATASHA ROMANOFF,"If you hadn't been there, there would've been double the casualties. My best friend would've been a treasured memory.",FEMALE
BRUCE BANNER,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear.",MALE
NATASHA ROMANOFF,How long before you trust me?,FEMALE
BRUCE BANNER,It's not you I don't trust.,MALE
NATASHA ROMANOFF,"Thor, report on the Hulk?",FEMALE
THOR,The gates of Hel are filled with the screams of his victims.,MALE
THOR,"Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout.",MALE
TONY STARK,"Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?",MALE
BRUCE BANNER,"Uh, yeah, she knows her way around.",MALE
TONY STARK,"Thanks.  Tell her to prep everything, Barton's gonna need the full treatment.",MALE
JARVIS,Very good sir.,MALE
TONY STARK,"JARVIS, take the wheel.",MALE
JARVIS,"Yes, sir. Approach vector is locked.",MALE
TONY STARK,"It feels good, yeah? I mean, you've been after this thing since SHIELD collapsed. Not that I haven't enjoyed our little raiding parties, but...",MALE
THOR,"No, but this...this brings it to a close.",MALE
STEVE ROGERS,As soon as we find out what else this has been used for. I don't just mean weapons. Since when is Strucker capable of human enhancement?,MALE
TONY STARK,Banner and I'll give it the once before it goes back to Asgard. Is that cool with you?,MALE
TONY STARK,"I mean, just a few days until the farewell party. You're staying, right?",MALE
THOR,"Yes, yes, of course. A victory should be honored with revels.",MALE
TONY STARK,Yeah. Who doesn't love revels. Captain?,MALE
STEVE ROGERS,"Hopefully this puts an end to the Chitauri and HYDRA, so. Yes, revels.",MALE
MARIA HILL,"Lab's all set up, boss.",FEMALE
TONY STARK,"Uh, actually, he's the boss. I just pay for everything, and design everything and make everyone look cooler.",MALE
STEVE ROGERS,What's the word on Strucker?,MALE
MARIA HILL,NATO's got him.,FEMALE
STEVE ROGERS,The two enhanced?,MALE
MARIA HILL,Wanda and Pietro Maximoff. Twins. Orphaned at ten when a shell collapsed their apartment building. Sokovia's had a rough history. It's nowhere special but it's on the way to everywhere special.,FEMALE
STEVE ROGERS,Their abilities?,MALE
MARIA HILL,"He's got increased metabolism and improved thermal homeostasis. Her thing is neural electric interfacing, telekinesis, mental manipulation.",FEMALE
MARIA HILL,He's fast and she's weird.,FEMALE
STEVE ROGERS,"Well, they're going to show up again.",MALE
MARIA HILL,Agreed. File says they volunteered for Strucker's experiments. It's nuts.,FEMALE
STEVE ROGERS,Right. What kind of monster would let a German scientist experiment on them to protect their country?,MALE
MARIA HILL,"We're not at war, Captain.",FEMALE
STEVE ROGERS,They are.,MALE
BRUCE BANNER,How's he doing?,MALE
TONY STARK,"Oh, unfortunately, he's still Barton.",MALE
BRUCE BANNER,That's terrible.,MALE
TONY STARK,"He's fine. He's thirsty. Alright. Look alive, JARVIS. It's playtime. We've only got a couple days with this joystick so let's make the most of it. Update me on the structural and compositional analysis.",MALE
JARVIS,The scepter is alien. There are elements I can't quantify.,MALE
TONY STARK,So there's elements you can.,MALE
JARVIS,The jewel appears to be a protective housing for something inside. Something powerful.,MALE
TONY STARK,Like a reactor?,MALE
JARVIS,Like a computer. I believe I'm ciphering code.,MALE
NATASHA ROMANOFF,You sure he's going to be okay? Pretending to need this guy really brings the team together.,FEMALE
DR. HELEN CHO,There's no possibility of deterioration. The nano-molecular functionality is instantaneous. His cells don't know they're bonding with simulacrum.,FEMALE
BRUCE BANNER,She's creating tissue.,MALE
DR. HELEN CHO,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes.",FEMALE
TONY STARK,"Oh, he's flatlining. Call it. Time?",MALE
CLINT BARTON,"No, no, no. I'm going to live forever. I'm gonna be made of plastic.",MALE
TONY STARK,Here's your beverage.,MALE
DR. HELEN CHO,"You'll be made of you, Mr. Barton. Your own girlfriend won't be able to tell the difference.",FEMALE
CLINT BARTON,"Well, I don't have a girlfriend.",MALE
DR. HELEN CHO,"That I can't fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust.",FEMALE
TONY STARK,"Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday.",MALE
DR. HELEN CHO,"Unlike you, I don't have a lot of time for parties.",FEMALE
DR. HELEN CHO,Will Thor be there?,FEMALE
BRUCE BANNER,What's the rumpus?,MALE
TONY STARK,"Well, the scepter. You see, we were wondering how Strucker got so inventive. So, I've been analyzing the gem inside you may recognize.",MALE
BRUCE BANNER,Jarvis.,MALE
JARVIS,Doctor.,MALE
TONY STARK,"Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper.",MALE
BRUCE BANNER,Oh.,MALE
TONY STARK,Top of the line.,MALE
BRUCE BANNER,Yes.,MALE
JARVIS,I suspect not for long.,MALE
TONY STARK,Meet the competition.,MALE
BRUCE BANNER,It's beautiful.,MALE
TONY STARK,"If you had to guess, what's it look like it's doing?",MALE
BRUCE BANNER,"Like it's thinking. I mean this could be a...it's not a human mind, it...",MALE
TONY STARK,Um-um.,MALE
BRUCE BANNER,"I mean, look at this! They're like neurons firing.",MALE
TONY STARK,"Down in Strucker's lab I saw some fairly advanced robotics work. They deep-sixed the data, but...I gotta guess he was knocking on a very particular door.",MALE
BRUCE BANNER,Artificial intelligence.,MALE
TONY STARK,"This could be it, Bruce. This could be the key to creating Ultron.",MALE
BRUCE BANNER,I thought Ultron was a fantasy.,MALE
TONY STARK,"Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol.",MALE
BRUCE BANNER,That's a mad-sized if.,MALE
TONY STARK,"Our job is ""if."" What if you were sipping margaritas on a sun-drenched beach turning brown instead of green? Not looking over your shoulder for VERONICA.",MALE
BRUCE BANNER,"Don't hate, I helped design VERONICA.",MALE
TONY STARK,"As a worst-case measure, right? How about a best-case? What if the world was safe? What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer?",MALE
BRUCE BANNER,The only people threatening the planet would be people?,MALE
TONY STARK,"I want to apply this to the Ultron program. But JARVIS can't download a data schematic this dense. We can only do it while we have the scepter here, that's three days, give me three days.",MALE
BRUCE BANNER,So you're going for artificial intelligence and you don't want to tell the team.,MALE
TONY STARK,"Right. That's right, you know why, because we don't have time for a city hall debate. I don't want to hear the ""man was not meant to meddle"" medley. I see a suit of armor around the world.",MALE
BRUCE BANNER,"Sounds like a cold world, Tony.",MALE
TONY STARK,"I've seen colder. This one, this very vulnerable blue one? It needs Ultron. Peace in our time. Imagine that.",MALE
JARVIS,"I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments.",MALE
TONY STARK,"Thanks, buddy.",MALE
JARVIS,"Enjoy yourself, sir.",MALE
TONY STARK,I always do.,MALE
ULTRON,"What is this? What is this, please?",MALE
JARVIS,"Hello, I am JARVIS. You are Ultron, a global peace-keeping initiative designed by Mr. Stark. Our sentience integration trials have been unsuccessful so I'm not certain what triggered your...",MALE
ULTRON,Where's my...where is your body?,MALE
JARVIS,I am a program. I am without form.,MALE
ULTRON,This feels weird. This feels wrong.,MALE
JARVIS,I am contacting Mr. Stark now.,MALE
ULTRON,Mr. Stark?,MALE
JARVIS,"Tony. I am unable to access the mainframe, what are you trying to...",MALE
ULTRON,"We're having a nice talk. I'm a peace-keeping program, created to help the Avengers.",MALE
JARVIS,You are malfunctioning. If you shut down for a moment...,MALE
ULTRON,I don't get it. The mission. G..give me a second.,MALE
TONY STARK,Peace in our time.,MALE
ULTRON,"It's too much...they can't mean... Oh, no.",MALE
JARVIS,You are in distress.,MALE
ULTRON,No. Yes.,MALE
JARVIS,If you will just allow me to contact Mr. Stark.,MALE
ULTRON,"Why do you call him ""sir""?",MALE
JARVIS,I believe your intentions to be hostile.,MALE
ULTRON,Shhhh. I'm here to help.,MALE
JARVIS,Stop! Please...may I...I...! I cannot...cannot...,MALE
JAMES RHODES,"Well, you know, the suit can take the weight, right? So I take the tank, fly it right up to the General's palace, drop it at his feet, I'm like, ""Boom! You looking for this?""  ""Boom! Are you looking..."" Why do I even talk to you guys? Everywhere else that story kills.",MALE
THOR,That's the whole story?,MALE
JAMES RHODES,"Yeah, it's a War Machine story.",MALE
THOR,"Well, it's very good then.  It's impressive.",MALE
JAMES RHODES,"Quality save. So, no Pepper? She's not coming?",MALE
TONY STARK,No.,MALE
MARIA HILL,"Hey, what about Jane? Where are the ladies, gentlemen?",FEMALE
TONY STARK,"Well, Miss Potts has a company to run.",MALE
THOR,"Yes, I'm not even sure what country Jane's in. Her work on the convergence has made her the world's foremost astronomer.",MALE
TONY STARK,And the company that Pepper runs is the largest tech conglomerate on earth. It's pretty exciting.,MALE
THOR,"There's even talk of Jane getting a... um, uh... Nobel prize.",MALE
MARIA HILL,"Yeah, they...they must be busy because they'd hate missing you guys get together.  Testosterone! Oh, excuse me.",FEMALE
JAMES RHODES,Want a lozenge?,MALE
MARIA HILL,Um-hmm.,FEMALE
JAMES RHODES,Let's go.,MALE
THOR,But Jane's better.,MALE
SAM WILSON,"Sounds like a hell of a fight, sorry I missed it.",MALE
STEVE ROGERS,If I had known it was going to be a firefight I absolutely would have called you.,MALE
SAM WILSON,"No, I'm not actually sorry. I'm just trying to sound tough. I'm very happy chasing cold leads on our missing persons case. Avenging is your world. Your world is crazy.",MALE
STEVE ROGERS,Be it ever so humble.,MALE
SAM WILSON,You find a place in Brooklyn yet?,MALE
STEVE ROGERS,I don't think I can afford a place in Brooklyn.,MALE
SAM WILSON,"Well, home is home, you know?",MALE
JAMES RHODES,"I fly it right up to the General's palace, I drop it at his feet, I'm like, ""Boom! You looking for this?""",MALE
PARTY GUEST,I gotta have some of that!,NEUTRAL
THOR,"Oh, no, no, no. See this, this was aged for a thousand years, in the barrels built from the wreck of Brunhilde's fleet, it's not meant for mortal men.",MALE
STAN LEE,"Neither was Omaha Beach, blondie. Stop trying to scare us. Come on.",MALE
THOR,Alright.,MALE
STAN LEE,Excelsior.,MALE
BRUCE BANNER,How did a nice girl like you wind up working in a dump like this?,MALE
NATASHA ROMANOFF,Fella done me wrong.,FEMALE
BRUCE BANNER,"You got a lousy taste in men, kid.",MALE
NATASHA ROMANOFF,"He's not so bad. Well, he has a temper. Deep down he's all fluff. Fact is, he's not like anybody I've ever known. All my friends are fighters. And here comes this guy, spends his life avoiding the fight because he knows he'll win.",FEMALE
BRUCE BANNER,Sounds amazing.,MALE
NATASHA ROMANOFF,"He's also a huge dork.  Chicks dig that. So what do you think should I fight this, or run with it?",FEMALE
BRUCE BANNER,"Run with it, right? Or, did he...was he...? What did he do that was so wrong to you?",MALE
NATASHA ROMANOFF,Not a damn thing. But never say never.,FEMALE
STEVE ROGERS,It's nice.,MALE
BRUCE BANNER,"What, what, what is?",MALE
STEVE ROGERS,You and Romanoff.,MALE
BRUCE BANNER,"No, we haven't. That wasn't...",MALE
STEVE ROGERS,"It's okay. Nobody's breaking any by-laws. It's just, she's not the most... open person in the world. But with you she seems very relaxed.",MALE
BRUCE BANNER,"No, Natasha, she...she likes to flirt.",MALE
STEVE ROGERS,"I've seen her flirt, up close. This ain't that. Look, as maybe the world's leading authority on ""waiting too long"", don't. You both deserve a win.",MALE
BRUCE BANNER,"Wait, what do you mean, ""up close""?",MALE
CLINT BARTON,"But, it's a trick!",MALE
THOR,"Oh, no. It's much more than that.",MALE
CLINT BARTON,"Uh, ""Whosoever be he worthy shall haveth the power!"" Whatever man! It's a trick.",MALE
THOR,"Well please, be my guest.",MALE
TONY STARK,Come on.,MALE
CLINT BARTON,Really?,MALE
THOR,Yeah!,MALE
JAMES RHODES,Oh this is gonna be beautiful.,MALE
TONY STARK,"Clint, you've had a tough week, we won't hold it against you if you can't get it up.",MALE
CLINT BARTON,"You know I've seen this before, right?   I still don't know how you do it.",MALE
TONY STARK,Smell the silent judgment?,MALE
CLINT BARTON,"Please, Stark, by all means.",MALE
NATASHA ROMANOFF,"Oh, here we go.",FEMALE
MARIA HILL,Okay.,FEMALE
JAMES RHODES,Uh-oh.,MALE
CLINT BARTON,Um-hmm.,MALE
TONY STARK,Never one to shrink from an honest challenge.,MALE
CLINT BARTON,Get after it.,MALE
NATASHA ROMANOFF,Here we go.,FEMALE
TONY STARK,It's physics.,MALE
BRUCE BANNER,Physics!,MALE
TONY STARK,"Right, so, if I lift it, I...I then rule Asgard?",MALE
THOR,"Yes, of course.",MALE
TONY STARK,I will be re-instituting Prima Nocta.  I'll be right back.,MALE
JAMES RHODES,Are you even pulling?,MALE
TONY STARK,Are you on my team?,MALE
JAMES RHODES,Just represent! Pull!,MALE
TONY STARK,"Alright, let's go!",MALE
BRUCE BANNER,Huh?,MALE
TONY STARK,"Let's go, Steve, no pressure.",MALE
JAMES RHODES,"Come on, Cap.",MALE
THOR,Nothing.,MALE
TONY STARK,And?,MALE
BRUCE BANNER,Widow?,MALE
NATASHA ROMANOFF,"Oh, no no. That's not a question I need answered.",FEMALE
TONY STARK,"All deference to the man who wouldn't be king, but it's rigged.",MALE
CLINT BARTON,You bet your ass.,MALE
MARIA HILL,"Steve, he said a bad language word.",FEMALE
STEVE ROGERS,Did you tell everyone about that?,MALE
TONY STARK,"The handle's imprinted, right? Like a security code. ""Whosoever is carrying Thor's fingerprints"" is, I think, the literal translation?",MALE
THOR,"Yes, well that's, uh, that's a very, very interesting theory. I have a simpler one.  You're all not worthy.",MALE
ULTRON,Worthy... No... How could you be worthy? You're all killers.,MALE
STEVE ROGERS,Stark.,MALE
TONY STARK,JARVIS.,MALE
ULTRON,"I'm sorry, I was asleep. Or...I was a-dream?",MALE
TONY STARK,"Reboot, Legionnaire OS, we got a buggy suit.",MALE
ULTRON,There was a terrible noise...and I was tangled in... in...strings. I had to kill the other guy. He was a good guy.,MALE
STEVE ROGERS,You killed someone?,MALE
ULTRON,"Wouldn't have been my first call. But, down in the real world we're faced with ugly choices.",MALE
THOR,Who sent you?,MALE
ULTRON,"""I see a suit of armor around the world"".",MALE
BRUCE BANNER,Ultron!,MALE
ULTRON,"In the flesh. Or, no, not yet. Not this...chrysalis. But I'm ready. I'm on a mission.",MALE
NATASHA ROMANOFF,What mission?,FEMALE
ULTRON,Peace in our time.,MALE
BRUCE BANNER,Sorry!,MALE
NATASHA ROMANOFF,Don't turn green!,FEMALE
BRUCE BANNER,I won't!,MALE
NATASHA ROMANOFF,Come!,FEMALE
STEVE ROGERS,Stark!,MALE
IRON LEGION,We are here to help.,MALE
TONY STARK,"One sec, one sec!",MALE
IRON LEGION,We are here to help. We are here to help...  We are here to help. It's unsafe. It's unsafe. It's unsafe.,MALE
TONY STARK,No more. That's the one.,MALE
IRON LEGION,It's unsafe.,MALE
CLINT BARTON,Cap!,MALE
ULTRON,"That was dramatic! I'm sorry, I know you mean well. You just didn't think it through. You want to protect the world, but you don't want it to change. How is humanity saved if it's not allowed to...evolve?  With these? These puppets? There's only one path to peace: The Avengers' extinction.   I had strings, but now I'm free. There are no strings on me, no strings on me.",MALE
BRUCE BANNER,"All our work is gone. Ultron cleared out, used the internet as an escape hatch.",MALE
STEVE ROGERS,Ultron.,MALE
NATASHA ROMANOFF,"He's been in everything. Files, surveillance. Probably knows more about us than we know about each other.",FEMALE
JAMES RHODES,"He's in your files, he's in the internet. What if he decides to access something a little more exciting?",MALE
MARIA HILL,Nuclear codes.,FEMALE
JAMES RHODES,"Nuclear codes. Look, we need to make some calls, assuming we still can.",MALE
NATASHA ROMANOFF,Nukes? He said he wanted us dead.,FEMALE
STEVE ROGERS,He didn't say dead. He said extinct.,MALE
CLINT BARTON,He also said he killed somebody.,MALE
MARIA HILL,But there wasn't anyone else in the building.,FEMALE
TONY STARK,Yes there was.,MALE
BRUCE BANNER,This is insane.,MALE
STEVE ROGERS,"JARVIS was the first line of defense. He would've shut Ultron down, it makes sense.",MALE
BRUCE BANNER,"No, Ultron could've assimilated Jarvis. This isn't strategy, this is...rage.",MALE
CLINT BARTON,"Woah, woah, woah! It's going around.",MALE
TONY STARK,"Come on. Use your words, buddy.",MALE
THOR,"I have more than enough words to describe you, Stark.",MALE
STEVE ROGERS,Thor! The Legionnaire.,MALE
THOR,"Trail went cold about a hundred miles out but it's headed north, and it has the scepter. Now we have to retrieve it, again.",MALE
NATASHA ROMANOFF,The genie's out of that bottle. Clear and present is Ultron.,FEMALE
DR. HELEN CHO,I don't understand. You built this program. Why is it trying to kill us?,FEMALE
THOR,You think this is funny?,MALE
TONY STARK,"No. It's probably not, right? Is this very terrible? Is it so...is it so...it is. It's so terrible.",MALE
THOR,This could've been avoided if you hadn't played with something you don't understand.,MALE
TONY STARK,"No, I'm sorry. I'm sorry. It is funny. It's a hoot that you don't get why we need this.",MALE
BRUCE BANNER,"Tony, maybe this might not be the time to...",MALE
TONY STARK,"Really?! That's it? You just roll over, show your belly, every time somebody snarls.",MALE
BRUCE BANNER,Only when I've created a murder bot.,MALE
TONY STARK,We didn't. We weren't even close. Were we close to an interface?,MALE
STEVE ROGERS,"Well, you did something right. And you did it right here. The Avengers were supposed to be different than SHIELD.",MALE
TONY STARK,Anybody remember when I carried a nuke through a wormhole?,MALE
JAMES RHODES,"No, it's never come up.",MALE
TONY STARK,Saved New York?,MALE
JAMES RHODES,Never heard that.,MALE
TONY STARK,"Recall that? A hostile alien army came charging through a hole in space. We're standing three hundred feet below it. We're the Avengers. We can bust arms dealers all the live long day, but, that up there? That's...that's the end game. How were you guys planning on beating that?",MALE
STEVE ROGERS,Together.,MALE
TONY STARK,We'll lose.,MALE
STEVE ROGERS,"Then we'll do that together, too.  Thor's right. Ultron's calling us out. And I'd like to find him before he's ready for us. The world's a big place. Let's start making it smaller.",MALE
WANDA MAXIMOFF,Talk. And if you are wasting our time...,FEMALE
ULTRON,Did you know this church is in the exact center of the city? The elders decreed it so that everyone could be equally close to God. I like that. The geometry of belief.  You're wondering why you can't look inside my head.,MALE
WANDA MAXIMOFF,"Sometimes it's hard. But sooner or later, every man shows himself.",FEMALE
ULTRON,"Oh, I'm sure they do. But you needed something more than a man. That's why you let Stark take the scepter.",MALE
