character,line,gender
DR. HANK PYM,Stark.,MALE
MITCHELL CARSON,He doesn’t seem happy.,MALE
HOWARD STARK,"Hello, Hank. You’re supposed to be in Moscow.",MALE
DR. HANK PYM,I took a detour.  Through your defense lab.,MALE
PEGGY CARTER,Tell me that isn’t what I think it is.,FEMALE
DR. HANK PYM,"It depends, if you think it’s a poor attempt to replicate my work. Even for this group, that takes nerve.",MALE
MITCHELL CARSON,"You were instructed to go to Russia. May I remind you, Dr. Pym, that you’re a soldier…",MALE
DR. HANK PYM,I’m a scientist.,MALE
HOWARD STARK,"Then act like one. The Pym Particle is the most revolutionary science ever developed, help us put it to good use.",MALE
DR. HANK PYM,"I let you turn me into your errand boy, and now you try to steal my research?",MALE
MITCHELL CARSON,"If only you’d protected Janet with such ferocity, Dr. Pym.",MALE
DR. HANK PYM,"Oh, god.",MALE
PEGGY CARTER,"Easy, Hank.",FEMALE
DR. HANK PYM,You mention my wife again and I’ll show you ferocity.,MALE
HOWARD STARK,"Don’t look at me, you said it.",MALE
DR. HANK PYM,I formally tender my resignation.,MALE
HOWARD STARK,"We don’t accept it. Formally. Hank, we need you. The Pym Particle is a miracle. Please, don’t let your past determine the future.",MALE
DR. HANK PYM,"As long as I am alive, nobody will ever get that formula.",MALE
MITCHELL CARSON,We shouldn’t let him leave the building.,MALE
PEGGY CARTER,"You’ve already lied to him, now you want to go to war with him?",FEMALE
MITCHELL CARSON,Yes! Our scientists haven’t come close to replicating his work.,MALE
HOWARD STARK,"He just kicked your ass full size. You really want to find out what it’s like when you can’t see him coming? I’ve known Hank Pym for a long time, he’s no security risk. Unless we make him one.",MALE
PEACHY,You like that? You like that? Come get you some then!,FEMALE
SCOTT LANG,You didn’t even move.,MALE
PEACHY,Nah.,FEMALE
SCOTT LANG,"I mean, what if I come in on the left side, right? Just out here and see this here…",MALE
PEACHY,"I’m gonna miss you, Scott.",FEMALE
SCOTT LANG,"I’m gonna miss you too, Peachy.  Man, you guys got the weirdest goodbye rituals.",MALE
LUIS,"Scotty! What’s up, man! Damn!",MALE
SCOTT LANG,"Hey! Hey, man.",MALE
LUIS,"Hey, what’s up with your eye?",MALE
SCOTT LANG,"Oh, well, what do you think. Peachy. His going away present.",MALE
LUIS,"Oh, yeah, I still got my scar from a year ago.",MALE
SCOTT LANG,Oh yeah.,MALE
LUIS,"Yeah. Yeah, yeah. You know what? I’m still the only one to knock him out.",MALE
SCOTT LANG,"Well, I definitely didn’t.",MALE
SCOTT LANG,"Thanks for picking me up, brother.",MALE
LUIS,"Oh, you know, you think I’m gonna miss my cellie getting out?",MALE
