character,line,gender
THE OTHER,"The Tesseract has awakened. It is on a little world, a human world. They would wield its power.",MALE
THE OTHER,But our ally knows its workings as they never will. He is ready to lead. And our force...,MALE
THE OTHER,"...our Chitauri, will follow. The world will be his...the universe, yours. And the humans, what can they do but burn?",MALE
INTERCOM VOICE,"All personnel, evacuation order has been confirmed. Proceed to your designated vehicles...",MALE
INTERCOM VOICE,...for all campus evacuation.,MALE
INTERCOM VOICE,This is not a drill. Emergency personnel proceed to your designated vehicles for all campus evacuation.,MALE
NICK FURY,How bad is it?,MALE
PHIL COULSON,"That’s the problem, sir. We don’t know.",MALE
PHIL COULSON,Doctor Selvig read an...,MALE
PHIL COULSON,...energy surge from the Tesseract four hours ago.,MALE
NICK FURY,NASA didn’t authorize Selvig could go to test B.,MALE
PHIL COULSON,He wasn’t testing it. He wasn’t even in the room. Spontaneous event.,MALE
MARIA HILL,It just turned itself on?,FEMALE
NICK FURY,Where are the energy levels now?,MALE
PHIL COULSON,Climbing. When Selvig couldn’t shut it down we ordered evac.,MALE
NICK FURY,How long to get everyone out?,MALE
PHIL COULSON,Campus should be clear in the next half hour.,MALE
NICK FURY,Do better.,MALE
MARIA HILL,"Sir, evacuation may be futile. ",FEMALE
NICK FURY,We should tell them to go back to sleep?,MALE
MARIA HILL,If we can’t control the Tesseract’s energy there may not be a minimum safe distance.,FEMALE
NICK FURY,I need you to make sure the Phase Two prototypes are shipped out.,MALE
MARIA HILL,"Sir, is that really a priority right now? ",FEMALE
NICK FURY,Until such time as the world ends we will act as though it intends to spin on. Clear out the tech below. Every piece of Phase Two on a truck and gone.,MALE
MARIA HILL,"Yes, Sir. With me.",FEMALE
NICK FURY,"Talk to me, Doctor. ",MALE
SELVIG,Director.,MALE
NICK FURY,Is there anything we know for certain?,MALE
SELVIG,The Tesseract is misbehaving.,MALE
NICK FURY,Is that supposed to be funny?,MALE
SELVIG,"No, it’s not funny at all. The Tesseract is not only active, she’s misbehaving. ",MALE
NICK FURY,How soon can you pull the plug?,MALE
SELVIG,"She’s an energy source. We turn off the power, she turns it back on. If she reaches peak level- ",MALE
NICK FURY,"We prepared for this, Doctor. Harnessing energy from space. ",MALE
SELVIG,"We don’t have the harness. My calculations are far from complete. She’s throwing off interference, radiation. Nothing harmful, low levels of Gamma radiation. ",MALE
NICK FURY,That can be harmful. Where’s agent Barton?,MALE
SELVIG,"The hawk? Up in his nest, as usual.",MALE
NICK FURY,Agent Barton. Report.,MALE
NICK FURY,I gave you this detail so you could keep a close eye on things.,MALE
CLINT BARTON,I see better from a distance.,MALE
NICK FURY,Have you seen anything that might set this thing off?,MALE
NASA SCIENTIST,Doctor! It’s spiking again.,FEMALE
CLINT BARTON,"No one’s come and gone. And Selvig’s clean. No contacts, no IM. If there’s any tampering, sir, it wasn’t this end.",MALE
NICK FURY,At this end?,MALE
CLINT BARTON,"Yeah. The Cube is a doorway to the other end of space, right? Doors open from both sides.",MALE
SELVIG,What’s that?,MALE
NICK FURY,"Sir, please put down the spear!",MALE
LOKI,You have heart.,MALE
LOKI,Please don’t. I still need that.,MALE
NICK FURY,This doesn’t have to get any messier.,MALE
LOKI,"Of course it does. I’ve come too far for anything else. I am Loki, of Asgard. And I am burdened with glorious purpose.",MALE
SELVIG,"Loki, brother of Thor? ",MALE
NICK FURY,We have no quarrel with your people.,MALE
LOKI,An ant has no quarrel with a boot.,MALE
NICK FURY,You planning to step on us?,MALE
LOKI,"I come with glad tidings, of a world made free. ",MALE
NICK FURY,Free from what?,MALE
LOKI,"Freedom. Freedom is life’s great lie. Once you accept that, in your heart you will know peace.",MALE
NICK FURY,"Yeah, you say peace. I kinda think you mean the other thing. ",MALE
CLINT BARTON,"Sir, Director Fury is stalling. This place is about to blow and drop a hundred feet of rock on us. He means to bury us. ",MALE
NICK FURY,Like the pharaohs of old.,MALE
SELVIG,He’s right. The portal is collapsing in on itself. We’ve got maybe two minutes before this goes critical.,MALE
LOKI,Well then.,MALE
CLINT BARTON,We need this vehicles.,MALE
MARIA HILL,Who’s that?,FEMALE
CLINT BARTON,Didn’t tell me.,MALE
NICK FURY,Hill!,MALE
NICK FURY,Do you copy?,MALE
NICK FURY,Barton...has turned.,MALE
NICK FURY,Get the Tesseract. Shut them down.,MALE
PHIL COULSON,"Let’s just go. No-no-no! Leave it, leave it. GO!",MALE
PHIL COULSON,"We’re clear upstairs, sir...",MALE
PHIL COULSON,...We need to go.,MALE
PHIL COULSON,Director.,MALE
PHIL COULSON,"Director Fury, do you copy? ",MALE
NICK FURY,The Tesseract is with a hostile force. I have men down. Hill?,MALE
MARIA HILL,A lot of men still under. Don’t know how many survivors.,FEMALE
NICK FURY,Sound a general call. I want every living soul...,MALE
NICK FURY,...not working rescue looking for that briefcase.,MALE
MARIA HILL,Roger that.,FEMALE
NICK FURY,"Coulson, get back to base. ",MALE
NICK FURY,This is a level seven.,MALE
NICK FURY,As of right now...,MALE
NICK FURY,We are at war.,MALE
PHIL COULSON,What do we do?,MALE
GEORGI LUCHKOV,This isn’t how I wanted this evening to go.,FEMALE
NATASHA ROMANOFF,I know how you wanted this evening. Believe me this is better.,FEMALE
GEORGI LUCHKOV,"Who are you working for? Lermentov, yes?",FEMALE
GEORGI LUCHKOV,Does he think we have to go through him to move our cargo?,FEMALE
NATASHA ROMANOFF,I thought General Solohob is in charge of the export business.,FEMALE
GEORGI LUCHKOV,"Solohob. A bagman, a front. Your outdated information betrays you. The famous Black Widow is just another pretty face. ",FEMALE
NATASHA ROMANOFF,You really think I’m pretty?,FEMALE
GEORGI LUCHKOV,Tell Lermentov we don’t need him to move the tanks. Tell him he is out. Well...You may have to write it.,FEMALE
WEASELLY THUG,It’s for her.,MALE
GEORGI LUCHKOV,You listen carefully-,FEMALE
PHIL COULSON,"You’re at 1- 14 Silensky Plaza, 3rd floor. We have an F-22 exactly eight miles out. Put the woman on the phone or I will blow up the block before you can make the lobby.  We need you to come in. ",MALE
NATASHA ROMANOFF,Are you kidding? I’m working.,FEMALE
PHIL COULSON,This takes precedence.,MALE
NATASHA ROMANOFF,"I’m in the middle of an interrogation, and this moron is giving me everything. ",FEMALE
GEORGI LUCHKOV,I not- give everything.,FEMALE
NATASHA ROMANOFF,"Look, you can’t pull me out of this right now. ",FEMALE
PHIL COULSON,Natasha...Barton’s been compromised.,MALE
NATASHA ROMANOFF,Let me put you on hold.,FEMALE
NATASHA ROMANOFF,Where’s Barton now?,FEMALE
PHIL COULSON,We don’t know.,MALE
NATASHA ROMANOFF,But he’s alive?,FEMALE
PHIL COULSON,"We think so.  We’ll brief you on everything when you get back. But first, we need you to talk to the big guy. ",MALE
NATASHA ROMANOFF,"Coulson, you know that Stark trusts me about as far as he can throw me. ",FEMALE
PHIL COULSON,Oh I’ve got Stark! You get the big guy.,MALE
NATASHA ROMANOFF,My God.,FEMALE
CALCUTTA WOMAN,Who are you? Get out! There is sickness here!,FEMALE
YOUNG GIRL,Are you the doctor? I need a doctor. My father. My father’s not waking up! He has a fever and he’s moaning but his eyes won’t open.,FEMALE
BRUCE BANNER,Slow down.,MALE
YOUNG GIRL,My father-,FEMALE
BRUCE BANNER,Like them?,MALE
YOUNG GIRL,Please!,FEMALE
BRUCE BANNER,Should have got paid upfront Banner.,MALE
NATASHA ROMANOFF,"You know, for a man who’s supposed to be...",FEMALE
NATASHA ROMANOFF,"...avoiding stress, you picked a hell of a place to settle. ",FEMALE
BRUCE BANNER,Avoiding stress isn’t the secret.,MALE
NATASHA ROMANOFF,Then what is it? Yoga?,FEMALE
BRUCE BANNER,And you brought me to the end of the city. Smart.  I- uh- I assume the whole place is surrounded.,MALE
NATASHA ROMANOFF,Just you and me.,FEMALE
BRUCE BANNER,"And your actress buddy? She a spy too, they start that wrong? ",MALE
NATASHA ROMANOFF,I did.,FEMALE
BRUCE BANNER,Who are you?,MALE
NATASHA ROMANOFF,Natasha Romanoff.,FEMALE
BRUCE BANNER,"Are you here to kill me, Ms Romanoff? ’Cause that’s not going to work out for everyone. ",MALE
NATASHA ROMANOFF,"No, no. Of course not. I’m here on behalf of SHIELD. ",FEMALE
BRUCE BANNER,SHIELD. How’d they find me?,MALE
NATASHA ROMANOFF,"We never lost you, Doctor. We’ve kept our distance, even helped keep some other interested parties off your scent. ",FEMALE
BRUCE BANNER,Why?,MALE
NATASHA ROMANOFF,Nick Fury seems to trust you. But now we need you to come in.,FEMALE
BRUCE BANNER,What if I say no?,MALE
NATASHA ROMANOFF,I’ll persuade you. ,FEMALE
BRUCE BANNER,And what if the- Other Guy says no?,MALE
NATASHA ROMANOFF,You’ve been more than a year without an incident. I don’t think you want to break that streak.,FEMALE
BRUCE BANNER,"Well, I don’t every time get what I want. ",MALE
NATASHA ROMANOFF,"Doctor, we’re facing a potential global catastrophe. ",FEMALE
BRUCE BANNER,Oh those I actively try to avoid.,MALE
NATASHA ROMANOFF,This  is the Tesseract.  It has the potential energy to wipe out the planet.,FEMALE
BRUCE BANNER,What does Fury want me to do? Swallow it?,MALE
NATASHA ROMANOFF,"He wants you to find it. It’s been taken. It emits a Gamma signature that’s too weak for us to trace. No one knows Gamma radiation like you do. If there was, that’s where I’d be. ",FEMALE
BRUCE BANNER,So Fury isn’t after the monster?,MALE
NATASHA ROMANOFF,Not that he’s told me.,FEMALE
BRUCE BANNER,And he tells you everything?,MALE
NATASHA ROMANOFF,"Talk to Fury, he needs you on this. ",FEMALE
BRUCE BANNER,He needs me in a cage?,MALE
NATASHA ROMANOFF,No one’s going to put you in a-,FEMALE
BRUCE BANNER,STOP LYING TO ME!  I’m sorry. That was mean. I just wanted to see what you’d do.  Why don’t we do this the easy way where you don’t use that and the- Other Guy doesn’t make a mess? Okay?....Natasha.,MALE
NATASHA ROMANOFF,Stand down. We’re good here.,FEMALE
BRUCE BANNER,Just you and me?,MALE
COUNCILMAN,"This is out of line, Director. You’re dealing with forces you can’t control. ",MALE
NICK FURY,"You ever been in a war, councilman? In a fire fight? Did you feel an over abundance of control? ",MALE
COUNCILMAN,You’re saying that this Asgard is declaring war on our planet?,MALE
NICK FURY,"Not Asgard, Loki. ",MALE
COUNCILWOMAN,"He can’t be working alone. What about the other one, his brother? ",FEMALE
NICK FURY,Our intelligence says Thor is not a hostile. But he’s worlds away and we can’t depend on him to help either. It’s up to us.,MALE
COUNCILMAN,"Which is why you should be focusing on Phase Two, it was designed for exactly this purpose. ",MALE
NICK FURY,Phase Two isn’t ready; our enemy is. We need a response team.,MALE
COUNCILMAN,The Avengers Initiative was shut down.,MALE
NICK FURY,This isn’t about the Avengers.,MALE
COUNCILMAN,We’re running the world’s greatest covert security network and you’re gonna leave the fate of the human race to a handful of freaks.,MALE
NICK FURY,"I’m not leaving anything to anyone. We need a response team. These people may be isolated, unbalanced even, but I believe, with the right push, they can be exactly what we need. ",MALE
COUNCILWOMAN,You believe!,FEMALE
COUNCILMAN,"War isn’t won by sentiment, Director. ",MALE
NICK FURY,"No, It’s won by soldiers.",MALE
STEVE ROGERS,There’s not enough time. I gotta put her in the water.,MALE
PEGGY CARTER,You won’t be alone.,FEMALE
SCIENTIST,Oh my God. This guy’s still alive.,MALE
NICK FURY,Trouble sleeping?,MALE
STEVE ROGERS,"Slept for seventy years, Sir. I think I’ve had my fill.",MALE
NICK FURY,"Then you should be out, celebrating, seeing the world. ",MALE
STEVE ROGERS,"When I went under, the world was at war. I wake up- they say we won. They didn’t say what we lost. ",MALE
NICK FURY,"We’ve made some mistakes along the way, some very recently. ",MALE
STEVE ROGERS,"You here with a mission, Sir? ",MALE
NICK FURY,I am.,MALE
STEVE ROGERS,Trying to get me back in the world?,MALE
NICK FURY,Trying to save it.,MALE
STEVE ROGERS,HYDRA’s secret weapon.,MALE
NICK FURY,Howard Stark fished that out of the ocean when he was looking for you. He thought what we think. The Tesseract could be the key to unlimited sustainable energy. That’s something the world sorely needs.,MALE
STEVE ROGERS,Who took it from you?,MALE
NICK FURY,He’s called Loki. He’s- not from around here. There’s a lot we’ll have to bring you up to speed on if you’re in. The world has gotten even stranger than you already know.,MALE
STEVE ROGERS,At this point I doubt anything would surprise me.,MALE
NICK FURY,Ten bucks says you’re wrong. There’s a debriefing packet waiting for you back at your apartment. Is there anything you can tell us about the Tesseract that we ought to know now?,MALE
STEVE ROGERS,You should have left it in the ocean.,MALE
TONY STARK,Good to go on this end. The rest is up to you.,MALE
PEPPER POTTS,You disconnected the transmission lines? Are we off the grid?,FEMALE
TONY STARK,Stark Tower’s about to become a beacon of self-sustaining clean energy.,MALE
PEPPER POTTS,"Well, assuming the arc reactor takes over and it actually works.",FEMALE
TONY STARK,I assume. Light her up.,MALE
PEPPER POTTS,How does it look?,FEMALE
TONY STARK,Like Christmas...,MALE
TONY STARK,...but with more- me.,MALE
PEPPER POTTS,We’ve got to go wider on the public awareness campaign. You need to do some press.,FEMALE
PEPPER POTTS,I’m in DC tomorrow. I’m working on the zoning for the next three buildings.,FEMALE
TONY STARK,"Pepper, you’re killing me at the moment. Remember, enjoy the moment. ",MALE
PEPPER POTTS,Then get in here and I will.,FEMALE
JARVIS,"Sir, Agent Coulson of SHIELD is on the line. ",MALE
TONY STARK,I’m not in. I’m actually out.,MALE
JARVIS,"Sir, I’m afraid he’s insisting. ",MALE
TONY STARK,"Grow a spine, JARVIS. I got a date.",MALE
PEPPER POTTS,Levels are holding steady- I think.,FEMALE
TONY STARK,"Of course they are, I was directly involved. Which leads me to my next question. How does it feel to be a genius?",MALE
PEPPER POTTS,"Well, ah, I really wouldn’t know now would I? ",FEMALE
TONY STARK,What do you mean? All this came from you.,MALE
PEPPER POTTS,"No, all this came from that.",FEMALE
TONY STARK,"Give yourself some credit, please. Stark Tower is your baby. Give yourself- twelve percent of the credit. ",MALE
PEPPER POTTS,Twelve percent?,FEMALE
TONY STARK,An argument can be made for fifteen.,MALE
PEPPER POTTS,Twelve percent of my baby?,FEMALE
TONY STARK,"Well, I did do all the heavy lifting. Literally, I lifted the heavy things and sorry but, the security snafu? That was on you. ",MALE
PEPPER POTTS,Oh!,FEMALE
TONY STARK,My private elevator.,MALE
PEPPER POTTS,You mean our elevator.,FEMALE
TONY STARK,"Yeah, it was teeming with sweaty workmen. I’m going to pay for that comment about percentages in some subtle way later aren’t I? ",MALE
PEPPER POTTS,Not gonna be that subtle.,FEMALE
TONY STARK,"I’ll tell you what, next building is gonna say ’Potts’ on the tower. ",MALE
PEPPER POTTS,On the lease!,FEMALE
TONY STARK,"Call your mum, can you bunk over? ",MALE
JARVIS,"Sir, the telephone. I’m afraid my protocols are being overridden. ",MALE
TONY STARK,Ah-,MALE
PHIL COULSON,"Mr. Stark, we need to talk. ",MALE
TONY STARK,You have reached the Life Model Decoy of Tony Stark. Please leave a message.,MALE
PHIL COULSON,This is urgent.,MALE
TONY STARK,Then leave it urgently.  Security breach. That’s on you!,MALE
PEPPER POTTS,Phil! Come in!,FEMALE
TONY STARK,Phil?,MALE
PHIL COULSON,I can’t stay.,MALE
TONY STARK,"Uh, his first name is Agent. ",MALE
PEPPER POTTS,"Come on in, we’re celebrating. ",FEMALE
TONY STARK,Which is why he can’t stay.,MALE
PHIL COULSON,"We need you to look this over, as soon as possible.",MALE
TONY STARK,I don’t like being handed things.,MALE
PEPPER POTTS,"That’s fine because I love to be handed things. So, let’s trade. Thank you. ",FEMALE
TONY STARK,Official consulting hours are between eight and five every other Thursday.,MALE
PHIL COULSON,This isn’t a consultation.,MALE
PEPPER POTTS,Is this about the Avengers?  Which I know nothing about.,FEMALE
TONY STARK,"The Avengers Initiative was scrapped, I thought, and I didn’t even qualify. ",MALE
PEPPER POTTS,I didn’t know that either.,FEMALE
TONY STARK,"Yeah, apparently I’m volatile, self-obsessed, don’t play well with others. ",MALE
PEPPER POTTS,That I did know.,FEMALE
PHIL COULSON,This isn’t about personality profiles anymore.,MALE
TONY STARK,"Whatever! Ms. Potts, got a sec? ",MALE
PEPPER POTTS,Half a moment.,FEMALE
TONY STARK,"You know, I thought we were having a moment. ",MALE
PEPPER POTTS,I was having twelve percent of a moment.  This seems serious. Phil looks pretty shaken.,FEMALE
TONY STARK,How would you notice- why is he Phil?,MALE
PEPPER POTTS,What is all this?,FEMALE
TONY STARK,This is- ah... ...this!,MALE
PEPPER POTTS,I’m going to take the jet to DC tonight.,FEMALE
TONY STARK,Tomorrow.,MALE
PEPPER POTTS,You have homework. You have a lot of homework.,FEMALE
TONY STARK,"Well, what if I didn’t? ",MALE
PEPPER POTTS,"If you didn’t? You mean when you finished? Well, um, then-",FEMALE
TONY STARK,Square deal. Fly safe. They kiss.,MALE
PEPPER POTTS,"Work hard.  So, any chance you’re driving by LaGuardia? ",FEMALE
PHIL COULSON,I can drop you off.,MALE
PEPPER POTTS,"Fantastic. Ooh, I want to hear about the ah- cellist, is that still a thing?",FEMALE
PHIL COULSON,She moved back to Portland.,MALE
PEPPER POTTS,What?...Boo.,FEMALE
