character,line,gender
SEARCH TEAM LEADER,Are you the guys from Washington?,MALE
SHIELD TECH,You get many other visitors out here?,MALE
SHIELD LIEUTENANT,How long have you been on site?,MALE
SEARCH TEAM LEADER,Since this morning. A Russian oil team called it in about 18 hours ago.,MALE
SHIELD LIEUTENANT,How come nobody spotted it before?,MALE
SEARCH TEAM LEADER,It’s really not that surprising. This landscape’s changing all the time. You got any ideas what this thing is exactly?,MALE
SHIELD LIEUTENANT,I don’t know. It’s probably a weather balloon.,MALE
SEARCH TEAM LEADER,I don’t think so. You know we don’t have the equipment for a job like this.,MALE
SHIELD TECH,How long before we can start craning it out?,MALE
SEARCH TEAM LEADER,I don’t think you quite understand. You guys are gonna need one hell of a crane!,MALE
SHIELD LIEUTENANT,"Base, we’re in.  What is this?  Careful.",MALE
SHIELD TECH,Lieutenant! What is it?,MALE
SHIELD LIEUTENANT,"My God!  Base, give me a line to the Colonel.",MALE
VOICE FROM EARPIECE,"It’s 3 a.m., sir.",NEUTRAL
SHIELD LIEUTENANT,I don’t care what time it is. This one’s waited long enough.,MALE
JAN,They have come for it!,MALE
TOWER KEEPER,They have before.,MALE
JAN,Not like this.,MALE
TOWER KEEPER,Let them come. They will never find it.,MALE
HYDRA LIEUTENANT,"Open it! Quickly, before he…",MALE
RED SKULL,It has taken me a long time to find this place.  You should be commended.  Help him up.,MALE
RED SKULL,I think that you are man of great vision. And in this way we are much alike.,MALE
TOWER KEEPER,I am nothing like you.,MALE
RED SKULL,"No, of course. But what others see as superstition, you and I know to be a science.",MALE
TOWER KEEPER,What you seek is just a legend.,MALE
RED SKULL,"Then why make such an effort to conceal it?  The Tesseract was the jewel of Odin’s treasure room.  It’s not something one buries. But I think it is close, yes?",MALE
TOWER KEEPER,I cannot help you.,MALE
RED SKULL,No. But maybe you can help your village. You must have some friends out there. Some… some little grandchildren perhaps. I have no need for them to die.,MALE
RED SKULL,"Yggdrasil. Tree of the world. Guardian of wisdom and fate, also.  And the Führer digs for trinkets in the desert. You have never seen this, have you?",MALE
TOWER KEEPER,It’s not for the eyes of ordinary men.,MALE
RED SKULL,Exactly.  Gove the order to open fire.,MALE
HYDRA LIEUTENANT,Jawohl!,MALE
TOWER KEEPER,Fool! You cannot control the power you hold. You will burn!,MALE
RED SKULL,I already have.,MALE
4F DOCTOR,"O’Connel, Michael. Kaminsky, Henry.",MALE
STEVE ROGERS,"Boy, a lot of guys getting killed over there.",MALE
4F DOCTOR,"Rogers, Steven.",MALE
ENLISTMENT GUY,"It kind of makes you think twice about enlisting, huh?",MALE
STEVE ROGERS,Nope.,MALE
4F DOCTOR,Rogers. What did your father die of?,MALE
STEVE ROGERS,Mustard gas. He was in the hundred and seventh infantry. I was hoping I could be assigned…,MALE
4F DOCTOR,Your mother?,MALE
STEVE ROGERS,"She was a nurse in a TB ward. Got hit, couldn’t shake it.",MALE
4F DOCTOR,"Sorry, son.",MALE
STEVE ROGERS,"Look, just give me a chance.",MALE
4F DOCTOR,You’d be ineligible on your asthma alone.,MALE
STEVE ROGERS,Is there anything you can do?,MALE
4F DOCTOR,I’m doing it. I’m saving your life.,MALE
COMMERCIAL ANNOUNCER,"War continues to ravage Europe. But help is on the way. Every able-bodied young man is lining up to serve his country. Even little Timmy is doing his part collecting scrap metal. Nice work, Timmy!",MALE
LOUD JERK,Who cares? Play the movie already!,MALE
STEVE ROGERS,"Hey, you wanna show some respect?",MALE
COMMERCIAL ANNOUNCER,"Meanwhile, overseas, our brave boys are showing the Axis powers that the price freedom is never too high.",MALE
LOUD JERK,"Let’s got! Get on with it! Hey, just start the cartoon!",MALE
STEVE ROGERS,"Hey buddy, you wanna shut up?!",MALE
COMMERCIAL ANNOUNCER,"Together with Allied forces, we’ll face any threat, no matter the size.",MALE
LOUD JERK,"You just don’t know when to give up, do you?",MALE
STEVE ROGERS,I can do this all day.,MALE
JAMES BARNES,Hey! Pick on someone your own size.,MALE
JAMES BARNES,"Sometimes, I think you like getting punched.",MALE
STEVE ROGERS,I had him on the ropes.,MALE
JAMES BARNES,How many times is this?,MALE
JAMES BARNES,"Oh, you’re from Paramus now? You know it’s illegal to lie on the enlistment form. And seriously, Jersey?",MALE
STEVE ROGERS,You get your orders?,MALE
JAMES BARNES,The one-o-seventh. Sergeant James Barnes. Shipping out for England first thing tomorrow.,MALE
STEVE ROGERS,I should be going.,MALE
JAMES BARNES,"Come on, man. My last night! Gotta get you cleaned up.",MALE
