character,line,gender
VASILY KARPOV,"Longing. Rusted. Seventeen. Daybreak. Furnace. Nine. Benign. Homecoming. One. Freight car. Good morning, Soldier.",MALE
BUCKY,Ready to comply.,MALE
VASILY KARPOV,I have a mission for you. Sanction and extract. No witnesses.,MALE
VASILY KARPOV,"Well done, Soldier.",MALE
STEVE ROGERS,"All right, what do you see?",MALE
WANDA MAXIMOFF,Standard beat cops. Small station. Quiet street. It’s a good target.,FEMALE
STEVE ROGERS,"There’s an ATM in the south corner, which means . . .",MALE
WANDA MAXIMOFF,Cameras.,FEMALE
STEVE ROGERS,Both cross streets are one way.,MALE
WANDA MAXIMOFF,"So, compromised escape routes.",FEMALE
STEVE ROGERS,"Means our guy doesn't care about being seen, he isn't afraid to make a mess on the way out. You see that Range Rover halfway up the block?",MALE
WANDA MAXIMOFF,"Yeah, the red one? It’s cute.",FEMALE
NATASHA ROMANOFF,"It's also bulletproof, which means private security, which means more guns, which means more headaches for somebody. Probably us.",FEMALE
WANDA MAXIMOFF,"You guys know I can move things with my mind, right?",FEMALE
NATASHA ROMANOFF,Looking over your shoulder needs to become second nature.,FEMALE
SAM WILSON,Anybody ever tell you you're a little paranoid?,MALE
NATASHA ROMANOFF,Not to my face. Why? Did you hear something?,FEMALE
STEVE ROGERS,"Eyes on target, folks. This is the best lead we've had on Rumlow in six months. I don't want to lose him.",MALE
SAM WILSON,If he sees us coming that won't be a problem. He kind of hates us.,MALE
STEVE ROGERS,"Sam, see that garbage truck? Tag it.",MALE
SAM WILSON,Give me X-ray.,MALE
SAM WILSON,That truck’s loaded for max weight. And the driver’s armed.,MALE
NATASHA ROMANOFF,It’s a battering ram.,FEMALE
STEVE ROGERS,Go now.,MALE
WANDA MAXIMOFF,What?,FEMALE
STEVE ROGERS,He’s not hitting the police.,MALE
STEVE ROGERS,"Body armor, AR-15's. I make seven hostiles.",MALE
SAM WILSON,I make 5.,MALE
WANDA MAXIMOFF,Sam.,FEMALE
SAM WILSON,Four.,MALE
SAM WILSON,Rumlow’s on the third floor.,MALE
STEVE ROGERS,"Wanda, just like we practiced.",MALE
WANDA MAXIMOFF,What about the gas?,FEMALE
STEVE ROGERS,Get it out.,MALE
BROCK RUMLOW,Pack it up.,MALE
BROCK RUMLOW,He’s here.,MALE
STEVE ROGERS,Rumlow has a biological weapon.,MALE
NATASHA ROMANOFF,I’m on it.,FEMALE
BROCK RUMLOW,I don't work like that no more.,MALE
BROCK RUMLOW,Fire in the hole.,MALE
MERCENARY,No!,MALE
STEVE ROGERS,Sam. He's in an AFV heading north.,MALE
BROCK RUMLOW,Take this to the airstrip. We're not gonna outrun them. Lose the truck.,MALE
MERCENARY,Where are you going to meet us?,MALE
BROCK RUMLOW,I’m not.,MALE
SAM WILSON,"I got four, they're splitting up.",MALE
NATASHA ROMANOFF,I got the two on the left.,FEMALE
STEVE ROGERS,They ditched their gear. It's a shell game now. One of them has the payload.,MALE
BROCK RUMLOW,"There you are, you son of a bitch. I’ve been waiting for this!",MALE
SAM WILSON,He doesn't have it. I’m empty.,MALE
NATASHA ROMANOFF,Out of the way!,FEMALE
MERCENARY,Drop it. Or I’ll drop this. Drop it!,MALE
MERCENARY,He'll do it!,MALE
NATASHA ROMANOFF,"Payload secure. Thanks, Sam.",FEMALE
SAM WILSON,Don't thank me.,MALE
NATASHA ROMANOFF,I’m… not thanking that thing.,FEMALE
SAM WILSON,His name is Redwing.,MALE
NATASHA ROMANOFF,I'm still not thanking it.,FEMALE
SAM WILSON,"He's cute. Go ahead, pet him.",MALE
BROCK RUMLOW,Come on!,MALE
BROCK RUMLOW,This is for dropping a building on my face.,MALE
BROCK RUMLOW,"I think I look pretty good, all things considered.",MALE
STEVE ROGERS,Who's your buyer?,MALE
BROCK RUMLOW,"You know, he knew you. You pal, your buddy, your Bucky.",MALE
STEVE ROGERS,What did you say?,MALE
BROCK RUMLOW,"He remembered you. I was there. He got all weepy about it. Till they put his brain back in a blender. He wanted you to know something. He said to me, ""Please tell Rogers. When you gotta go, you gotta go."" And you're coming with me.",MALE
STEVE ROGERS,Oh my . . .  Sam . . . We need . . . Fire and Rescue . . . on the south side of the building. We gotta get up there.,MALE
MARIA STARK,"Try to remember the kind of September. When grass was green . . .  Wake up, dear, and say goodbye to your father.",FEMALE
HOWARD STARK,Who's the homeless person on the couch?,MALE
TONY STARK,This is why I love coming home for Christmas . . . right before you leave town.,MALE
MARIA STARK,"Be nice, dear, he's been studying abroad.",FEMALE
HOWARD STARK,"Really, which broad? What's her name?",MALE
TONY STARK,Candice.,MALE
HOWARD STARK,Do me a favor? Try not to burn the house down before Monday.,MALE
TONY STARK,"Okay, so it's Monday. That is good to know. I will plan my toga party accordingly. Where you going?",MALE
MARIA STARK,You father's flying us to the Bahamas for a little getaway.,FEMALE
HOWARD STARK,We might have to make a quick stop.,MALE
TONY STARK,"At the Pentagon. Right? Don't worry, you're gonna love the holiday menu at the commissary.",MALE
HOWARD STARK,"You know, they say sarcasm is a metric for potential. If that's true, you'll be a great man some day. I'll get the bags.",MALE
MARIA STARK,"He does miss you when you are not here. And frankly, you're going to miss us. Because this is the last time we're all going to be together. You know what's about to happen. Say something. If you don't, you'll regret it.",FEMALE
TONY STARK,"I love you, Dad. And I know you did the best you could.",MALE
TONY STARK,"That's how I wished it happened. Binarily Augmented Retro-Framing, or BARF. God, I gotta work on that acronym. An extremely costly method of hijacking the hippocampus to . . . clear traumatic memories. Huh.",MALE
TONY STARK,"It doesn't change the fact that they never made it to the airport . . . or all the things I did to avoid processing my grief, but . . .  Plus, 611 million dollars for my little therapeutic experiment? No one in the right mind would've ever funded it.",MALE
TONY STARK,"Help me out, what's the MIT mission statement? ""To generate, disseminate . . . and preserve knowledge. And work with others . . . to bring it to bear on the world's great challenges."" Well, you are the others. And, quiet as it's kept . . . the challenges facing you are the greatest mankind's ever known. Plus, most of you are broke.",MALE
TONY STARK,"Oh, I'm sorry. Rather, you were. As of this moment . . . every student has been made an equal recipient of the Inaugural September Foundation Grant. As in . . . all of your projects have just been approved and funded.",MALE
TONY STARK,"No strings, no taxes… just re-frame the future! Starting now.",MALE
TONY STARK,Go break some eggs.,MALE
MIT TEACHER,"Wow. Wow. That uh . . . that took my breathe away. Oh, Tony! So generous. So much money! Wow! Out of curiosity . . . will any portion of that grant be made available to faculty? I know, ""Ooh, gross,"" but hear me out. I have got this killer idea for a self-cooking hot dog. Basically, chemical detonator embedded . . .",MALE
TONY STARK,"Restroom's this way, yeah?",MALE
MIT TEACHER,Yeah. Embedded in the meat shaft.,MALE
STARK'S ASSISTANT,"Mr. Stark, I am so sorry about the teleprompter. I didn't know Miss Potts had cancelled. They didn't have time to fix it.",FEMALE
TONY STARK,It's . . . fine. I'll be right back.,MALE
MIT TEACHER,We'll catch up later.,MALE
MRS. SPENCER,"That was nice, what you did for those young people.",FEMALE
TONY STARK,"Ah, they deserve it. Plus, it helps ease my conscience.",MALE
MRS. SPENCER,They say there's a correlation between generosity and guilt. But if you've got the money . . . break as many eggs as you like. Right?,FEMALE
TONY STARK,Are you going up?,MALE
MRS. SPENCER,I'm right where I want to be.,FEMALE
TONY STARK,"Okay, okay. Hey! Sorry, it's an occupational hazard.",MALE
MRS. SPENCER,I work for the State Department. Human Resources. I know it's boring . . . but it enabled me to raise a son. I'm very proud of what he grew up to be.,FEMALE
MRS. SPENCER,His name was Charlie Spencer. You murdered him. In Sokovia. Not that it matters in the least to you. You think you fight for us. You just fight for yourself.,FEMALE
MRS. SPENCER,"Who's going to avenge my son, Stark? He's dead . . . and I blame you.",FEMALE
NEWS ANCHOR,"11 Wakandans were among those killed during a confrontation between the Avengers and a group of mercenaries in Lagos, Nigeria, last month. The traditionally reclusive Wakandans were on an outreach mission in Lagos when the attack occurred.",MALE
T'CHALA,"Our people's blood is spilled on foreign soil. Not only because of the actions of criminals, but by the indifference of those pledged to stop them. Victory at the expense of the innocent, is no victory at all.",MALE
NEWS ANCHOR,The Wakanda king went on to . . .,MALE
NEWS ANCHOR,"They are operating outside and above the international law. Because that's the reality, if we don't respond to acts like these.",MALE
WANDA MAXIMOFF,It's my fault.,FEMALE
STEVE ROGERS,That's not true.,MALE
WANDA MAXIMOFF,Turn the TV back on. They're being very specific.,FEMALE
STEVE ROGERS,I should've clocked that bomb vest long before you had to deal with it.,MALE
STEVE ROGERS,"Rumlow said ""Bucky"" and . . . all of a sudden I was a 16-year-old kid again, in Brooklyn.",MALE
STEVE ROGERS,And people died. It's on me.,MALE
WANDA MAXIMOFF,It's on both of us.,FEMALE
STEVE ROGERS,"This job . . . we try to save as many people as we can. Sometimes that doesn't mean everybody. But if we can't find a way to live with that, next time . . . maybe nobody gets saved.",MALE
WANDA MAXIMOFF,Vis! We talked about this.,FEMALE
VISION,"Yes, but the door was open so I assumed that . . .",MALE
VISION,Captain Rogers wished to know when Mr. Stark was arriving.,MALE
STEVE ROGERS,Thank you. We'll be right down.,MALE
VISION,"I'll . . . use the door. Oh, and apparently, he's brought a guest.",MALE
STEVE ROGERS,We know who it is?,MALE
VISION,The Secretary of State.,MALE
SECRETARY ROSS,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me: Perspective. The world owes the Avengers an un-payable debt. You have fought for us, protected us, risked your lives . . . but while a great many people see you as heroes, there are some . . . who would prefer the word ""vigilantes"".",MALE
NATASHA ROMANOFF,"And what word would you use, Mr. Secretary?",FEMALE
SECRETARY ROSS,"How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?",MALE
SECRETARY ROSS,New York.,MALE
SECRETARY ROSS,Washington DC.,MALE
SECRETARY ROSS,Sokovia.,MALE
SECRETARY ROSS,Lagos.,MALE
STEVE ROGERS,Okay. That's enough.,MALE
SECRETARY ROSS,"For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution.",MALE
SECRETARY ROSS,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary.",MALE
STEVE ROGERS,The Avengers were formed to make the world a safer place. I feel we've done that.,MALE
SECRETARY ROSS,"Tell me, Captain, do you know where Thor and Banner are right now?",MALE
SECRETARY ROSS,"If I misplaced a couple of 30 megaton nukes . . . you can bet there'd be consequences. Compromise. Reassurance. That's how the world works. Believe me, this is the middle ground.",MALE
JAMES RHODES,"So, there are contingencies.",MALE
SECRETARY ROSS,"Three days from now, the UN meets in Vienna to ratify the Accords.",MALE
SECRETARY ROSS,Talk it over.,MALE
NATASHA ROMANOFF,And if we come to a decision you don't like?,FEMALE
SECRETARY ROSS,Then you retire.,MALE
HELMUT ZEMO,Hello? Is this your car out front?,MALE
HELMUT ZEMO,I jumped the curb.,MALE
HELMUT ZEMO,"Maybe we could take care of it ourselves. If you wanna call the cops, tha--that's okay too, I guess.",MALE
VASILY KARPOV,No. No cops.,MALE
HELMUT ZEMO,Thank you.,MALE
HELMUT ZEMO,"You have kept your looks, Colonel. Congratulations.",MALE
HELMUT ZEMO,"""Mission report: December 16, 1991.""",MALE
VASILY KARPOV,Who are you?,MALE
HELMUT ZEMO,"My name is Zemo. I will repeat my question. Mission report. December 16, 1991.",MALE
VASILY KARPOV,How did you find me?,MALE
HELMUT ZEMO,"When SHIELD fell, Black Widow released HYDRA files to the public. Millions of pages much of it encrypted, not easy to decipher. But . . . I have experience. And patience. A man can do anything if he has those.",MALE
VASILY KARPOV,What do you want?,MALE
HELMUT ZEMO,Mission report. December 16. 1991.,MALE
VASILY KARPOV,Go . . . to . . . hell.,MALE
