character,line,gender
ASGARDIAN PA,"This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!",MALE
EBONY MAW,"Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos.",MALE
THANOS,"I know what it's like to lose. To feel so desperately that you're right... yet to fail, nonetheless.  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say... I AM.",MALE
THOR,You talk too much.,MALE
THANOS,"The Tesseract, or your brother's head. I assume you have a preference.",MALE
LOKI,"Oh, I do. Kill away!",MALE
LOKI,"ALL RIGHT, STOP!",MALE
THOR,We don't have the Tesseract. It was destroyed on Asgard.,MALE
THOR,You really are the worst brother.,MALE
LOKI,"I assure you, brother... the sun will shine on us again.",MALE
THANOS,"Your optimism is misplaced, Asgardian.",MALE
LOKI,"Well, for one thing, I'm not Asgardian. And for another... we have a Hulk.",MALE
EBONY MAW,Let him have his fun.,MALE
HEIMDALL,Allfathers… let the dark magic flow through me one last... time.,MALE
THANOS,That was a mistake.,MALE
THOR,NO!!!  You're going to die for that!,MALE
EBONY MAW,Shh.,MALE
EBONY MAW,"My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp.",MALE
THANOS,"There are two more Stones on Earth. Find them, my children, and bring them to me on Titan.",MALE
PROXIMA MIDNIGHT,"Father, we will not fail you.",FEMALE
CULL OBSIDIAN,"We're going to New York City and We will tear The Avengers Apart and Smash! Once and for all, my lord.",MALE
LOKI,"If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena.",MALE
THANOS,If you consider failure experience.,MALE
LOKI,"I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity.",MALE
THANOS,"""Undying?"" You should choose your words more carefully.",MALE
LOKI,You will... never be... a god.,MALE
THOR,NO!,MALE
THANOS,No resurrections this time.,MALE
THOR,No… Loki….,MALE
STEPHEN STRANGE,Seriously? You don't have any money?,MALE
WONG,Attachment to the material is detachment from the spiritual.,MALE
STEPHEN STRANGE,I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye.,MALE
WONG,"Oh, wait, wait, wait, I think I have 200.",MALE
STEPHEN STRANGE,Dollars?,MALE
WONG,Rupees.,MALE
STEPHEN STRANGE,Which is?,MALE
WONG,"Uh, buck and a half.",MALE
STEPHEN STRANGE,What do you want?,MALE
WONG,I wouldn't say no to a tuna melt.,MALE
BRUCE BANNER,Thanos is coming. He's coming...,MALE
STEPHEN STRANGE,Who?,MALE
TONY STARK,"Slow down, slow down. I'm totally not kidding.",MALE
PEPPER POTTS,You're totally rambling.,FEMALE
TONY STARK,"No, I'm not.",MALE
PEPPER POTTS,Lost me.,FEMALE
TONY STARK,"Look, you know how you're having a dream, and in the dream you gotta pee?",MALE
PEPPER POTTS,Yeah.,FEMALE
TONY STARK,"Okay, and then you're like, 'Oh my god, there's no bathroom, what am I gonna do?', 'Oh! Someone's watching,' ''m gonna go in my pants.'",MALE
PEPPER POTTS,"Right. And then you wake up, and in real life you actually have to pee.",FEMALE
TONY STARK,Yes.,MALE
PEPPER POTTS,Yeah. Everybody has that.,FEMALE
TONY STARK,"Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?",MALE
PEPPER POTTS,Right.,FEMALE
TONY STARK,Morgan! Morgan.,MALE
PEPPER POTTS,"So you woke up, and thought that we were...",FEMALE
TONY STARK,Expecting.,MALE
PEPPER POTTS,Yeah.,FEMALE
TONY STARK,Yes?,MALE
PEPPER POTTS,No.,FEMALE
TONY STARK,I had a dream about it. It was so real.,MALE
PEPPER POTTS,"If you wanted to have a kid, you wouldn't have done that.",FEMALE
TONY STARK,"I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles.",MALE
PEPPER POTTS,"It's not helping your case, OK?",FEMALE
TONY STARK,"No, no, it's an attachment, it's not a-",MALE
PEPPER POTTS,You don't need that.,FEMALE
TONY STARK,"I know. I had the surgery. I'm just trying to protect us. The future uses, and that's it. Just in case there's a monster in the closet, instead of, you know...",MALE
PEPPER POTTS,Shirts?,FEMALE
TONY STARK,You know me so well. You finish all my sentences.,MALE
PEPPER POTTS,You should have shirts in your closet.,FEMALE
TONY STARK,Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you.,MALE
PEPPER POTTS,Yes.,FEMALE
TONY STARK,I will.,MALE
STEPHEN STRANGE,"Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way.",MALE
TONY STARK,"I'm sorry, you giving out tickets or something?",MALE
STEPHEN STRANGE,"We need your help. Look, it's not overselling to say that the fate of the universe is at stake.",MALE
TONY STARK,"And who's ""we""?",MALE
BRUCE BANNER,"Hey, Tony.",MALE
TONY STARK,Bruce.,MALE
BRUCE BANNER,Pepper.,MALE
PEPPER POTTS,Hi.,FEMALE
TONY STARK,You okay?,MALE
WONG,"From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence.",MALE
STEPHEN STRANGE,Space. Reality. Power. Soul. Mind. And Time.,MALE
TONY STARK,Tell me his name again.,MALE
BRUCE BANNER,"Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him.",MALE
TONY STARK,This is it... What's our timeline?,MALE
BRUCE BANNER,"No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony...",MALE
STEPHEN STRANGE,He can destroy life on a scale hitherto undreamt of.,MALE
TONY STARK,"Did you seriously just say ""hitherto undreamt of""?",MALE
STEPHEN STRANGE,Are you seriously leaning on the Cauldron of the Cosmos?,MALE
TONY STARK,Is that what this is.... ?,MALE
TONY STARK,"I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?",MALE
STEPHEN STRANGE,No can do.,MALE
WONG,We swore an oath to protect the Time Stone. With our lives.,MALE
TONY STARK,"And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so....",MALE
STEPHEN STRANGE,Stark Raving Hazelnuts.,MALE
TONY STARK,It's not bad.,MALE
STEPHEN STRANGE,A bit chalky.,MALE
WONG,A Hunka-Hulka Burning Fudge is our favorite.,MALE
BRUCE BANNER,That's a thing?,MALE
TONY STARK,Whatever. Point is: things change.,MALE
STEPHEN STRANGE,Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos.,MALE
TONY STARK,"And still conversely, it may also be his best chance against us.",MALE
STEPHEN STRANGE,"Well, if we don't do our jobs.",MALE
TONY STARK,"What is your job exactly, besides making balloon animals?",MALE
STEPHEN STRANGE,"Protecting your reality, douchebag.",MALE
BRUCE BANNER,"Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now.",MALE
TONY STARK,"Yeah, that's the... thing.",MALE
BRUCE BANNER,What do you mean?,MALE
TONY STARK,"Two weeks ago, Vision turned off his transponder. He's offline.",MALE
BRUCE BANNER,"What? Tony, you lost another super bot?",MALE
TONY STARK,I didn't lose him. He's more than that. He's evolving.,MALE
STEPHEN STRANGE,"Who could find Vision, then?",MALE
TONY STARK,Shit.  Probably Steve Rogers.,MALE
STEPHEN STRANGE,"Oh, great.",MALE
TONY STARK,Maybe. But...,MALE
BRUCE BANNER,Call him.,MALE
TONY STARK,"It's not that easy. God, we haven't caught up in a spell, have we?",MALE
BRUCE BANNER,No.,MALE
TONY STARK,The Avengers broke up. We're toast.,MALE
BRUCE BANNER,Broke up? Like a band? Like The Beatles?,MALE
TONY STARK,Cap and I fell out hard. We're not on speaking terms.,MALE
BRUCE BANNER,"Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not.",MALE
TONY STARK,"Say, Doc, you wouldn't happen to be moving your hair, would you?",MALE
