character,line,gender
TONY STARK,"Oh, I get it.  You guys aren’t allowed to talk.  Is that it?  Are you not allowed to talk?",MALE
JIMMY,No.  We’re allowed to talk.,MALE
TONY STARK,Oh.  I see.  So it’s personal.,MALE
RAMIREZ,I think they’re intimidated.,MALE
TONY STARK,"Good God, you’re a woman.",MALE
TONY STARK,"I, honestly, I couldn’t have called that. I would apologize, but isn’t that what we’re going for here? I saw you as a soldier first. ",MALE
JIMMY,"I have a question, sir. ",MALE
TONY STARK,Please.,MALE
JIMMY,Is it true you’re twelve for twelve with last years Maxim cover girls?,MALE
TONY STARK,"Excellent question. Yes and no. March and I had a schedule conflict but, thankfully, the Christmas cover was twins.  Anyone else? You, with the hand up. ",MALE
PRATT,It’s a little embarrassing.,MALE
TONY STARK,Join the club.,MALE
PRATT,Can I take a picture with you?,MALE
TONY STARK,"Are you aware that Native Americans believe photographs steal a little piece of your soul?  Not to worry, mine’s long gone. Fire away.",MALE
PRATT,STAY HERE!,MALE
JAMES RHODES,"GET DOWN, TONY.  GET THE --",MALE
NARRATOR,"December 7, 1941: the day the world changed forever. President Roosevelt declares the United States will build fifty thousand planes to fight the armies of Hirohito and Hitler--",MALE
NARRATOR,Although no such capacity to build existed...,MALE
NARRATOR,"Howard Stark, founder of the fledgling Stark Industries, answers his call to duty --",MALE
NARRATOR,"And builds not fifty, but a hundred thousand planes.",MALE
NARRATOR,"Later, Stark’s work on the Manhattan project makes the end of the war possible.",MALE
NARRATOR,Stark Industries would go on to contribute to every major weapons system through the Cold War --,MALE
NARRATOR,But Howard Stark’s greatest achievement would come in 1973--,MALE
NARRATOR,"From early on, it was clear that Tony Stark had a unique gift--",MALE
NARRATOR,"At seventeen he graduated summa cum laude from MIT.  Four years later, tragedy would pass the Stark mantle from father to son--",MALE
NARRATOR,The loss of a titan.  But Tony did not let personal grief distract him from his duty --,MALE
NARRATOR,"At twenty-one, he became the youngest-ever CEO of a Fortune 500 company.  And with it came a new mandate --",MALE
NARRATOR,"Smarter weapons, fewer casualties. A dedication to preserving life.",MALE
NARRATOR,Today Tony Stark’s ingenuity continues to protect freedom and American interest around the globe.,MALE
JAMES RHODES,"As Program Manager and Liaison to Stark Industries, I’ve had the honor of serving with a real patriot, a man whose life has been dedicated to protecting our troops on the front lines.  He’s a friend. And a great mentor.  A man who has always been there for his friends and his country.  Ladies and gentlemen, this year’s ARES Award winner -- Mr. Tony Stark.",MALE
OBADIAH,"Thank you...I, uhhh, I’m not Tony Stark, but if I were TONY STARK, I’d tell you how honored I am and...what a joy it is to receive this award. The best thing about Tony is also the worst thing -- he’s always working.",MALE
TONY STARK,"...you think we’re having a ‘moment’ here, but this is actually the logical conclusion of several mathematical truisms. Your hypothalamus is flooding your system with a chain of proteins called peptides, so that every cell in your body is opening itself up to the happy chemical: oxytocin. ",MALE
WOMAN,That’s...wow....,FEMALE
TONY STARK,Hold on a second --,MALE
TONY STARK,"-- so now your limbic system is positively...throbbing.  A Kirlian photograph of us right now, occupying this space, would show serious subatomic particles being exchanged between us, with a rapidity that transcends-- Are you getting this?  You will be quizzed --",MALE
TONY STARK,"My God, what are you, they roped you into this thing too? ",MALE
JAMES RHODES,Yeah.  They said you’d be deeply honored if I presented.,MALE
TONY STARK,"Okay, let’s do it.",MALE
TONY STARK,"That was quick.  Thought there’d be more of, you know, a ceremony. Maybe a highlight reel --",MALE
TONY STARK,Colore me up.,MALE
TONY STARK,"My chaperone has just arrived with my Degenerate of the Year Award.  Judging from his look, I may have just peed in the kiddie pool.",MALE
TONY STARK,"I must now take my ease, along with the House’s funds.",MALE
JAMES RHODES,A lot of people would kill to have their name on that award.,MALE
TONY STARK,It belongs to my old man.  They should have given it to him.,MALE
JAMES RHODES,"What’s wrong with you?  A thousand people came here tonight to honor you, and you leave them with egg on their face.  This award means something, TONY STARK, it’s bigger than you -- ",MALE
TONY STARK,Hold that thought a sec.,MALE
TONY STARK,Put it all on black.  Don’t worry -- it’s approved.,MALE
JAMES RHODES,...you just blew three million.,MALE
TONY STARK,Yeah.  Don’t know what was more exciting -- winning it...or the fact that I don’t care I just lost it.,MALE
JAMES RHODES,Everything’s funny to you.,MALE
TONY STARK,No.  You’re not funny.,MALE
JAMES RHODES,We’ve got a hell of a day tomorrow. Can we get out of here now?,MALE
TONY STARK,One more stop.,MALE
TONY STARK,Of course I respect your opinion.,MALE
JAMES RHODES,This is no joke.  You’re going into a hot zone.  We should be doing this test here in Nevada.,MALE
TONY STARK,This system has to be demonstrated in true field conditions.,MALE
PEPPER POTTS,"TONY STARK, it’s the President.  Wants to congratulate you personally.  Heads up.",FEMALE
TONY STARK,"...Jim, how’re the trout running? Yeah, sitting on top of the world here.  Working on my masterpiece --",MALE
PEPPER POTTS,You’re leaving the country for a week.  I need five minutes --,FEMALE
TONY STARK,Okay -- shoot.,MALE
PEPPER POTTS,The Board meeting is on the eleventh.  Should I tell them to expect an appearance--?,FEMALE
WOMAN'S VOICE,Mr. Stark!,FEMALE
CHRISTINE EVERHART,"Christine Everhart, Vanity Fair Magazine.  Can I ask you a few questions? ",FEMALE
