character,line,gender
TONY STARK,Been a while since I was up here in front of you. Maybe I’ll do us all a favour and just stick to the cards. There’s been some speculation that I was somehow involved in the events that occurred on the freeway and on the rooftop…,MALE
CHRISTINE EVERHART,"Sorry, Mr Stark, do you honestly expect us to believe that that was a bodyguard in a suit that convinently appeared despite the fact that you sorely despise bodyguards?",FEMALE
TONY STARK,Yes,MALE
CHRISTINE EVERHART,And this mysterious bodyguard was somehow equipped with an undisclosed Stark high-tech powered battle…,FEMALE
TONY STARK,"I know that it’s confusing. It is one thing to question the official story and another thing entirely to make wild accusations, or insinuate that I’m a superhero.",MALE
TONY STARK,"I mean, let’s face it, I’m not the heroric type. A laundry list of character defects, all the mistakes I’ve made, largely public. The truth is… I am Iron Man.",MALE
ANTON VANKO,Ivan. Vanya. That should be you.,MALE
IVAN VANKO,Don’t listen to that crap,MALE
ANTON VANKO,I’m sorry. All I can give you is my knowledge.,MALE
MAN,270 at 30 knots. Holding steady at 15000 feet. You are clear for exfiltration over the drop zone,MALE
PRETTY MUCH EVERYONE IN THE CROWD,Tony! Tony! Tony! Tony!,NEUTRAL
TONY STARK,It’s good to be back. You missed me?,MALE
MAN IN CROWD,Blow something up!,MALE
TONY STARK,"I missed you too. Blow something up? I already did that. I’m not saying that the world is enjoying its longest period of uninterrupted peace in years because of me. I’m not saying that from the ashes of captivity, never has a greater phoenix metaphor been personified in human history. I’m not saying that Uncle Sam can kick back on a lawn chair, sipping on an iced tea because I haven’t come across anyone who’s man enough to go toe-to-toe with me on my best day.",MALE
WOMAN IN CROWD,I love you Tony!,FEMALE
TONY STARK,"Please, it’s not about me.  It’s not about you. It’s not even about us. It’s about legacy. It’s about what we choose to leave behind for future generations. And that’s why for the next year and for the first time since 1974, the best and brightest men and women of nations and corporations the world over will pool their resources, share their collective vision, to leave behind a brighter future. It’s not about us. Therefore, what I’m saying, if I’m saying anything, is welcome back to the Stark Expo.  And now, making a special guest appearance from the great beyond to tell you what it’s all about, please welcome my father, Howard.",MALE
HOWARD STARK,"Everything is achievable through technology. Better living, robust health, and for the first time in human history, the possibility of world peace. So, from all of us here at Stark Industries, I would like to personally introduce you to the City of the Future. Technology holds infinite possibilities for mankind,  and will one day rid society of all its ills. Soon technology will affect the way you live your life every day. No more tedious work, leaving more time for leisure activities and enjoying the sweet life. The Stark Expo. Welcome.",MALE
REPORTER,"We are coming to you live from the kickoff at the Stark Expo, where Tony Stark has just walked offstage. Don’t worry if you can’t make it down here tonight because this Expo goes on all year long. And I’m gonna be here checking out all the attractions and the pavilions and inventions from all around the world.",MALE
HAPPY HOGAN,Make sure you join me…,MALE
TONY STARK,"All right, it’s a zoo out there, watch out.",MALE
HAPPY HOGAN,"Open up, let’s go.",MALE
TONY STARK,"Hey, nice to see you. All right. Thank you. I remember you.",MALE
PEOPLE,"TONY STARK, Tony",NEUTRAL
TONY STARK,"Hey, hey.",MALE
WOMAN,Call me.,FEMALE
HAPPY HOGAN,"Hey, hey, hey, hey. Come on, come on.",MALE
TONY STARK,Hello. It would be a pleasure.,MALE
HAPPY HOGAN,Okay,MALE
TONY STARK,See you buddy,MALE
HAPPY HOGAN,This is Larry.,MALE
TONY STARK,"Hey, the oracle of Oracle. What a pleasure. Nice to see you.",MALE
LARRY,Call me. Call me.,FEMALE
HAPPY HOGAN,Larry King.,MALE
TONY STARK,"Larry! Larry. Yes, my people, my people.",MALE
HAPPY HOGAN,"Come on, Tony. There we go.",MALE
TONY STARK,Very mellow.,MALE
HAPPY HOGAN,That wasn’t so bad.,MALE
TONY STARK,"No, it was perfect.",MALE
HAPPY HOGAN,"Look what we got here, the new model.",MALE
TONY STARK,"Hey, does she come with the car?",MALE
HAPPY HOGAN,I certainly hope so. Hi.,MALE
TONY STARK,Hi. And you are?,MALE
WOMAN,Marshal.,FEMALE
TONY STARK,Irish. I like it.,MALE
MARSHAL,Pleased to meet you Tony.,FEMALE
TONY STARK,I’m on the wheel. Do you mind? Where you from?,MALE
MARSHAL,Bedford.,FEMALE
TONY STARK,What are you doing here?,MALE
MARSHAL,Looking for you.,FEMALE
TONY STARK,Yeah? You found me. What are you up to later?,MALE
MARSHAL,Serving subpoenas.,FEMALE
TONY STARK,Yikes.,MALE
HAPPY HOGAN,He doesn’t like to be handed things.,MALE
TONY STARK,"Yeah, I have a peeve.",MALE
MARSHAL,I got it. You are hereby ordered to appear before the Senate Armed Services Committee tomorrow morning at 9 am.,FEMALE
TONY STARK,Can I see a badge?,MALE
MARSHAL,You wanna see the badge?,FEMALE
HAPPY HOGAN,He likes the badge.,MALE
MARSHAL,You still like it?,FEMALE
TONY STARK,Yep.  How far are we from D.C.?,MALE
HAPPY HOGAN,D.C.? 250 miles.,MALE
STERN,"Mr Stark, could we pick up now where we left off? Mr Stark. Please.",MALE
TONY STARK,Yes dear?,MALE
STERN,Can I have your attention?,MALE
TONY STARK,Absolutely.,MALE
STERN,Do you or do you not possess a specialised weapon?,MALE
TONY STARK,I do not.,MALE
STERN,You do not?,MALE
TONY STARK,"I do not. Well, it depends on how you define the word weapon.",MALE
STERN,The Iron Man weapon.,MALE
TONY STARK,My device does not fit that description.,MALE
STERN,Well… How would you describe it?,MALE
TONY STARK,"I would describe it by defining it as what it is, Senator.",MALE
STERN,As?,MALE
TONY STARK,It’s a high-tech prosthesis. That is… That is… That’s actually the most apt description I can make of it.,MALE
STERN,"It’s a weapon. It’s a weapon, Mr Stark.",MALE
TONY STARK,"Please, if your priority was actually the well-being of the American citizen…",MALE
STERN,My priority is to get the Iron Man weapon turned over to the people of the United States of America.,MALE
TONY STARK,"Well, you can forget it. I am Iron Man. The suit and I are one. To turn over the Iron Man suit would be to turn over myself which is tantamount to indentured servitude or prostitution, depending or what state you’re in. You can’t have it.",MALE
STERN,"Look, I’m no expert…",MALE
TONY STARK,In prostitution? Of course not. You’re a senator. Come on.,MALE
STERN,"I’m no expert in weapons. We have somebody here who is an expert on weapons. I’d now like to call Justin Hammer, our current primary weapons contractor.",MALE
TONY STARK,"Let the record reflect that I observed Mr Hammer entering the chamber, and I am wondering if and when any actual expert will also be in attendance.",MALE
JUSTIN HAMMER,"Absolutely. I’m no expert. I defer to you, Anthony. You’re the wonder boy. Senator, if I may. I may well not be an expert, but you know who was the expert? Your dad. Howard Stark. Really a father to us all, and to the military-industrial age. Let’s just be clear, he was no flower child. He was a lion. We all know why we’re here. In the last six months, Anthony Stark has created a sword with untold possibilities. And yet, he insists it’s a shield. He asks us to trust him as we cower behind it. I wish I were comforted, Anthony, I really do. I’d love to leave my door unlocked when I leave the house, but this ain’t Canada. You know, we live in a world of grave threats, threats that Mr Stark will not always be able to foresee. Thank you. God bless Iron Man. God bless America.",MALE
