character,line,gender
ODIN,"Long before the birth of light there was darkness, and from that darkness, came the Dark Elves. Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night.",MALE
ODIN,"Such evil was possible through the power of the Aether, an ancient force of infinite destruction.",MALE
ODIN,"The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures.",MALE
KURSE,Malekith! Asgard's forces are upon us.,MALE
MALEKITH,Send the Kursed.,MALE
ODIN,"As the Nine Worlds converged above him, Malekith could at last unleash the Aether...",MALE
ODIN,"But Asgard ripped the weapon from his grasp. Without it, the Dark Elves fell. With the battle all but lost, Malekith sacrificed his own people in a desperate attempt to lay waste to Asgard's army.",MALE
MALEKITH,Their deaths will mean our survival. This war is far from over.,MALE
ODIN,"Malekith was vanquished, and the Aether was no more. Or so we were led to believe.",MALE
ASGARDIAN EINHERJAR,"Sire, the Aether. Shall we destroy it?",MALE
BOR,If only we could. But its power is too great. Bury it deep. Somewhere no one will ever find it.,MALE
FRIGGA,Loki.,MALE
LOKI,"Hello, mother. Have I made you proud?",MALE
FRIGGA,"Please, don't make this worse.",MALE
LOKI,Define worse.,MALE
ODIN,Enough! I will speak to the prisoner alone.,MALE
LOKI,I really don't see what all the fuss is about.,MALE
ODIN,"Do you not truly feel the gravity of your crimes? Wherever you go there is war, ruin and death.",MALE
LOKI,I went down to Midgard to rule the people of Earth as a benevolent god. Just like you.,MALE
ODIN,"We are not gods. We are born, we live, we die. Just as humans do.",MALE
LOKI,Give or take 5000 years.,MALE
ODIN,All this because Loki desires a throne.,MALE
LOKI,It is my birthright.,MALE
ODIN,Your birthright was to die as a child. Cast out onto a frozen rock. If I had not taken you in you would not be here now to hate me.,MALE
LOKI,"If I am for the axe, then for mercy's sake, just swing it. It's not that I don't love our little talks, it's just ... I don't love them.",MALE
ODIN,Frigga is the only reason you are still alive and you will never see her again. You will spend the rest of your days in the dungeons.,MALE
LOKI,And what of Thor? You'll make that witless oaf king while I rot in chains?,MALE
ODIN,"Thor must strife to undo the damage you have done. He will bring order to the nine realms and then, yes. He will be king.",MALE
SIF,I've got this completely under control!,FEMALE
THOR,Is that why everything is on fire?,MALE
SIF,You're welcome.  All yours.,FEMALE
THOR,Hello.  I accept your surrender.,MALE
THOR,Anyone else?,MALE
FANDRAL,Perhaps next time we should start with the big one.,MALE
GUARD,Keep moving. Come on! Keep moving. Go ahead of me. Don't you turn around!,MALE
HOGUN,Where do we go next?,MALE
THOR,"Hogun, the peace is nearly won across the Nine Realms. You should stay here. Be with your people, where your heart is. Asgard can wait.",MALE
HOGUN,You have my thanks.,MALE
THOR,"As you have mine. Heimdall, when you're ready.",MALE
ODIN,Is Vanaheim secure?,MALE
THOR,As are Nornheim and Ria. Though our work would have gone more quickly with you at the fore.,MALE
ODIN,You must think I'm a piece of bread that needs to be buttered so heavily.,MALE
THOR,That was not my intent.,MALE
ODIN,"For the first time since the Bifrost was destroyed, the Nine Realms are at peace. They're well reminded of our strength and you have earned their respect and my gratitude.",MALE
THOR,Thank you.,MALE
ODIN,Nothing out of order except your confused and distracted heart.,MALE
THOR,"This isn't about JANE, Father.",MALE
ODIN,"Human lives are fleeting, they are nothing. You'd be better served by what lies in front of you  I'm telling you this not as the all-father but as your father. You are ready. The time has come for you to take the throne. Embrace and celebrate what you've won. Join your warriors. Eat and drink, revel in their celebration. At least pretend to enjoy yourself.",MALE
SIF,There was a time you would celebrate for weeks.,FEMALE
THOR,I remember you celebrated the battle of Haragon so much that you nearly started a second.,MALE
SIF,"Well, the first was so much fun.",FEMALE
SIF,Take a drink with me. Surely the All-Father could have no further task for you tonight.,FEMALE
THOR,"No, this is one I set myself.",MALE
SIF,It has not gone unnoticed that you disappear each night. There are Nine Realms. Future king of Asgard must focus on more than one.,FEMALE
THOR,"I thank you for your sword and for your counsel, good Lady Sif.",MALE
RICHARD,Hi.,MALE
JANE,Hi.,FEMALE
RICHARD,So what's the story with you?,MALE
JANE,"Why does there have to be a story, there's no story.",FEMALE
RICHARD,"You've spent the first ten minutes of our date hiding behind a menu that has three choices on it. It's either chicken, vegetarian or fish, Jane. I think there's a story and I'm thinking the story involves a guy?",MALE
JANE,It's complicated.,FEMALE
RICHARD,Is he still around?,MALE
JANE,"No, he...went away.",FEMALE
RICHARD,"I've been there. The going away, it's hard. I'd been seeing a woman and uh...she took a job in New York, eventually the distance killed it. And...and the fact that she uh...she kept sleeping with other dudes.",MALE
JANE,No!,FEMALE
RICHARD,"Oh, so many.",MALE
RICHARD,Hi. Um...could we get some wine please?,MALE
DARCY LEWIS,"Sure, I'd love some.",FEMALE
JANE,"Richard, this is Darcy.  What are you doing here?",FEMALE
RICHARD,"Oh, hello.",MALE
DARCY LEWIS,"So, I show up to work at the lab-slash-your mom's house, fully expecting you to be moping around in your pajamas eating ice cream obsessing about you know who...",FEMALE
RICHARD,Ah.,MALE
DARCY LEWIS,"But you're not! You're wearing lady clothes, you even showered, didn't you? You smell good.",FEMALE
JANE,"Is there a point to all this, cause there really has to be a point to all this.",FEMALE
DARCY LEWIS,Right. You know that scientific equipment you don't look at anymore? You might wanna start looking at it now,FEMALE
DARCY LEWIS,This is the reason we came all the way out here.,FEMALE
JANE,It's malfunctioning.,FEMALE
DARCY LEWIS,That's what I said.,FEMALE
DARCY LEWIS,That's what I did! But you just hit a little more scientific.,FEMALE
JANE,I'm sure it's nothing.,FEMALE
RICHARD,Yeah.,MALE
DARCY LEWIS,"It didn't look like nothing. Kind of looks like the readings that Erik was rambling about.  Our friend Erik, kind of went banana-balls.",FEMALE
JANE,He's not interested. I'm not interested. Time for you to go now.,FEMALE
DARCY LEWIS,Okay.,FEMALE
RICHARD,Short but sweet.,MALE
JANE,She needs help.,FEMALE
RICHARD,I think I'm gonna have the sea bass.,MALE
JANE,"Sea bass. Yeah, sea bass is good.",FEMALE
JANE,"Sea bass, sea bass, sea bass, sea bass, sea bass, sea bass, sea bass...sea bass. Sea bass...",FEMALE
RICHARD,"Jane, maybe you should stop saying sea bass and go out to your friend.",MALE
JANE,This was so fun.,FEMALE
RICHARD,"You know, I'll just stay here and say sea bass alone.",MALE
JANE,And I hate you.,FEMALE
DARCY LEWIS,What?! I thought he was cute.,FEMALE
JANE,Just shut up and drive.,FEMALE
JANE,Who's he?,FEMALE
DARCY LEWIS,He's my intern.,FEMALE
JANE,You have an intern?,FEMALE
DARCY LEWIS,"Oh, yeah.",FEMALE
IAN BOOTHBY,"Hello, Dr. Foster. It's uh...it's a great honor to be working with you.",MALE
JANE,Right. I have to call Erik.,FEMALE
IAN BOOTHBY,"Oh, uh...take a right.",MALE
IAN BOOTHBY,Left!,MALE
DARCY LEWIS,I have totally mastered driving in London.,FEMALE
JANE,"Hi, Erik, it's me again. Where are you? I came here because you said you were onto something and then vanished.",FEMALE
STONEHENGE TV NEWS REPORTER,"I'm here at Stonehenge, for what has been an interesting unfolding of events today. The police reported the scene shortly after 11 a.m. this morning, after a seemingly harmless rambler approached the area then started to strip naked and effectively terrorize tourists there with scientific equipment while shouting that he was trying to save them. The man later identified as noted Astrophysicist Dr. Erik Selvig has been called in for questioning by police.",MALE
DARCY LEWIS,"Come on, this is exciting! Look, the intern is excited.",FEMALE
IAN BOOTHBY,Ian.,MALE
DARCY LEWIS,Do you want the phase meter?,FEMALE
JANE,No.,FEMALE
