character,line,gender
STEVE ROGERS,On your left.,MALE
STEVE ROGERS,On your left.,MALE
SAM WILSON,"Uh-huh, on my left. Got it.",MALE
SAM WILSON,Don't say it! Don't you say it!,MALE
STEVE ROGERS,On your left!,MALE
SAM WILSON,Come on!,MALE
STEVE ROGERS,Need a medic?,MALE
SAM WILSON,"I need a new set of lungs. Dude, you just ran like 13 miles in 30 minutes.",MALE
STEVE ROGERS,I guess I got a late start.,MALE
SAM WILSON,"Oh, really? You should be ashamed of yourself. You should take another lap.",MALE
SAM WILSON,Did you just take it? I assumed you just took it.,MALE
STEVE ROGERS,What unit you with?,MALE
SAM WILSON,"58, Pararescue. But now I'm working down at the VA.",MALE
SAM WILSON,Sam Wilson.,MALE
STEVE ROGERS,Steve Rogers.,MALE
SAM WILSON,Yeah I kind of put that together. Must have freaked you out coming home after the whole defrosting thing.,MALE
STEVE ROGERS,"It takes some getting used to. It's good to meet you, Sam.",MALE
SAM WILSON,"It's your bed, right?",MALE
STEVE ROGERS,What's that?,MALE
SAM WILSON,"Your bed, it's too soft. When I was over there I'd sleep on the ground and use rock for pillows, like a caveman. Now I'm home, lying in my bed, and it's like...",MALE
STEVE ROGERS,Lying on a marshmallow. Feel like I'm gonna sink right to the floor.,MALE
STEVE ROGERS,How long?,MALE
SAM WILSON,Two tours.,MALE
SAM WILSON,"You must miss the good old days, huh?",MALE
STEVE ROGERS,"Well, things aren't so bad. Food's a lot better, we used to boil everything. No polio is good. Internet, so helpful. I've been reading that a lot trying to catch up.",MALE
SAM WILSON,"Marvin Gaye, 1972, ""Trouble Man"" soundtrack. Everything you've missed jammed into one album.",MALE
STEVE ROGERS,I'll put it on the list.,MALE
TEXT MESSAGE,Mission alert. Extraction imminent. Meet at the curb. :),NEUTRAL
STEVE ROGERS,"Alright, Sam, duty calls. Thanks for the run. If that's what you wanna call running.",MALE
SAM WILSON,"Oh, that's how it is?",MALE
STEVE ROGERS,"Oh, that's how it is.",MALE
SAM WILSON,"Okay. Any time you wanna stop by the VA, make me look awesome in front of the girl at the front desk, just let me know.",MALE
STEVE ROGERS,I'll keep it in mind.,MALE
SAM WILSON,Okay.,MALE
NATASHA ROMANOFF,"Hey, fellas. Either one of you know where the Smithsonian is? I'm here to pick up a fossil.",FEMALE
STEVE ROGERS,That's hilarious.,MALE
SAM WILSON,How you doing?,MALE
NATASHA ROMANOFF,Hey.,FEMALE
STEVE ROGERS,Can't run everywhere.,MALE
SAM WILSON,"No, you can't.",MALE
BROCK RUMLOW,"The target is a mobile satellite launch platform: The Lemurian Star. They were sending up their last payload when pirates took them, 93 minutes ago.",MALE
STEVE ROGERS,Any demands?,MALE
BROCK RUMLOW,A billion and a half.,MALE
STEVE ROGERS,Why so steep?,MALE
BROCK RUMLOW,Because it SHIELD's.,MALE
STEVE ROGERS,"So it's not off-course, it's trespassing.",MALE
NATASHA ROMANOFF,I'm sure they have a good reason.,FEMALE
STEVE ROGERS,"You know, I'm getting a little tired of being Fury's janitor.",MALE
NATASHA ROMANOFF,"Relax, it's not that complicated.",FEMALE
STEVE ROGERS,How many pirates?,MALE
BROCK RUMLOW,"Twenty-five, top mercs, led by this guy. Georges Batroc.",MALE
BROCK RUMLOW,"Ex-DGSE, Action Division. He's at the top of Interpol's Red Notice. Before the French demobilized him, he had thirty-six kill missions. This guy's got a rep for maximum casualties.",MALE
STEVE ROGERS,Hostages?,MALE
BROCK RUMLOW,"Uh...mostly techs. One officer, Jasper Sitwell.",MALE
BROCK RUMLOW,They're in the galley.,MALE
STEVE ROGERS,"What's Sitwell doing on a launch ship? Alright, I'm gonna sweep the deck and find Batroc. Nat, you'll kill the engines and wait for instructions. Rumlow, you sweep aft, find the hostages, get them to the life-pods, get 'em out. Let's move.",MALE
BROCK RUMLOW,"STRIKE, you heard the Cap. Gear up.",MALE
STEVE ROGERS,Secure channel seven.,MALE
NATASHA ROMANOFF,Seven secure. Did you do anything fun Saturday night?,FEMALE
STEVE ROGERS,"Well, all the guys from my barbershop quartet are dead, so... No, not really.",MALE
PILOT,"Coming up by the drop zone, Cap.",MALE
NATASHA ROMANOFF,"You know, if you ask Kristen out, from Statistics, she'd probably say yes.",FEMALE
STEVE ROGERS,That's why I don't ask.,MALE
NATASHA ROMANOFF,Too shy or too scared?,FEMALE
STEVE ROGERS,Too busy!,MALE
STRIKE AGENT,Was he wearing a parachute?,FEMALE
BROCK RUMLOW,"No. No, he wasn't.",MALE
FRENCH PIRATE #1,Do not move! Do not move.,MALE
STEVE ROGERS,Thanks.,MALE
BROCK RUMLOW,Yeah. You seemed pretty helpless without me.,MALE
NATASHA ROMANOFF,What about the nurse that lives across the hall from you? She seems kind of nice.,FEMALE
STEVE ROGERS,"Secure the engine room, then find me a date.",MALE
NATASHA ROMANOFF,I'm multitasking.,FEMALE
FRENCH PIRATE #1,"I said to Batroc, if we want SHIELD to pay, we have to start sending them bodies now!  I have a bullet for someone.  You want a bullet in your head?! Do you want one? Eh? Move that leg. Want a bullet in your head?",MALE
GEORGES BATROC,I do not like to wait. Call Durand. I want the ship ready to move when the ransom arrives.,MALE
FRENCH PIRATE,"Yes, Batroc.",MALE
FRENCH PIRATE,Durand. Start the engine.,MALE
DURAND,Okay.,MALE
NATASHA ROMANOFF,"Hey, sailor.",FEMALE
FRENCH PIRATE,Shut up.,MALE
FRENCH PIRATE #1,What is it? Want to be a hero?,MALE
FRENCH PIRATE #1,"Well, I've waited long enough.",MALE
FRENCH PIRATE #1,"Hey, look for Batroc. If I do not hear anything in two minutes, I'll start to kill them!",MALE
FRENCH PIRATE #2,Okay. I'll find him!,MALE
FRENCH PIRATE #1,Two minutes.,MALE
FRENCH PIRATE,"Radio silence from SHIELD, Batroc.",MALE
STRIKE AGENT,Targets acquired.,FEMALE
BROCK RUMLOW,STRIKE in position.,MALE
STEVE ROGERS,"Natasha, what's your status?",MALE
STEVE ROGERS,"Status, Natasha?",MALE
NATASHA ROMANOFF,Hang on!,FEMALE
NATASHA ROMANOFF,Engine room secure.,FEMALE
FRENCH PIRATE #1,"Time's up. Who wants to die first?  Hey, you! Take the girl.",MALE
STEVE ROGERS,On my mark. Three. Two. One.,MALE
JASPER SITWELL,"I told you, SHIELD doesn't negotiate.",MALE
FRENCH PIRATE,"Hello? Batroc, the line is dead. I lost contact with them.",MALE
BROCK RUMLOW,"Hostages en route to extraction. Romanoff missed the rendezvous point, Cap. Hostiles are still in play.",MALE
