character,line,gender,happy,sad,disgusted,angry,fearful,neutral,surprised
ANNOUNCER,Report to your stations immediately. This is not a drill. We are under attack. We are under attack.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Shit!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Language! JARVIS, what's the view from upstairs?",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
THOR,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"At long last is lasting a little long, boys.",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
CLINT BARTON,Yeah. I think we lost the element of surprise.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?""",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,I know.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,It just slipped out.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,Who gave the order to attack?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
FORTRESS SOLDIER,"Herr Strucker, it's the Avengers. They landed in the far woods, the perimeter guard panicked.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,They have to be after the scepter.  Can we hold them?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
FORTRESS SOLDIER,They're the Avengers...,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,Deploy the rest of the tanks.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
FORTRESS SOLDIER,"Yes, sir.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,Concentrate fire on the weak ones. A hit can make them close ranks. Everything we've accomplished. But we're on the verge of our greatest breakthrough.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
DR. LIST,Then let's show them what we've accomplished. Send out the twins.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,It's too soon.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
DR. LIST,It's what they signed up for.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,My men can hold them.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JARVIS,"Sir, the city is taking fire.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
IRON LEGION,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
IRON LEGION,We are here to help.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,"We will not yield! The Americans sent their circus freaks to test us. We will send them back, in bags. No Surrender!",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SOLDIERS,No Surrender!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been...",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
DR. LIST,The twins.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,They are not ready to take on...,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
DR. LIST,"No, no. I mean...",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
DR. LIST,The Twins.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
PIETRO MAXIMOFF,You didn't see that coming?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,Clint!,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,We have an enhanced in the field.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,Clint's hit!,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,Somebody want to deal with that bunker?,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,Thank you.,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Stark, we're really need to get inside.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JARVIS,There's a pathway below the north tower.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Great, I wanna poke it with something.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Drawbridge is down, people.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
THOR,The enhanced?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"Clint's hit pretty bad, guys. We're gonna need evac.",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
THOR,I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Copy that.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
THOR,Looks like they're lining up.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Well, they're excited.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
THOR,Find the scepter.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"And for gosh sake, watch your language!",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,That's not going away anytime soon.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Guys, stop, we gotta talk about this.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Good talk.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
FORTRESS SOLDIER,No it wasn't.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Sentry mode.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,We're locked down out here.,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Then get to Banner, time for a lullaby.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JARVIS,The wall to your left...I'm reading steel reinforcement and an air current.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Please be a secret door, please be a secret door, please be a secret door...",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Yay!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"Hey, big guy. The sun's getting real low.",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Baron Strucker. Hydra's number one thug.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,"Technically, I'm a thug for SHIELD.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Well then technically you're unemployed. Where's Loki's scepter?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,I'll put it right under illegal human experimentation.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,How many are there?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,We have a second enhanced. Female. Do not engage.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STRUCKER,You'll have to be faster than...,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Guys, I got Strucker.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Yeah, I got...something bigger.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Thor, I got eyes on the prize.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,You could have saved us.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Why didn't you do more?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
PIETRO MAXIMOFF,We're just gonna let them take it?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"Hey, the lullaby worked better than ever.",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BRUCE BANNER,Just wasn't expecting the Code Green.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"If you hadn't been there, there would've been double the casualties. My best friend would've been a treasured memory.",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BRUCE BANNER,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,How long before you trust me?,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BRUCE BANNER,It's not you I don't trust.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"Thor, report on the Hulk?",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
THOR,The gates of Hel are filled with the screams of his victims.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
THOR,"Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BRUCE BANNER,"Uh, yeah, she knows her way around.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
