character,line,gender,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Oh, I get it.  You guys aren’t allowed to talk.  Is that it?  Are you not allowed to talk?",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JIMMY,No.  We’re allowed to talk.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Oh.  I see.  So it’s personal.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
RAMIREZ,I think they’re intimidated.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Good God, you’re a woman.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"I, honestly, I couldn’t have called that. I would apologize, but isn’t that what we’re going for here? I saw you as a soldier first. ",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JIMMY,"I have a question, sir. ",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Please.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JIMMY,Is it true you’re twelve for twelve with last years Maxim cover girls?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Excellent question. Yes and no. March and I had a schedule conflict but, thankfully, the Christmas cover was twins.  Anyone else? You, with the hand up. ",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
PRATT,It’s a little embarrassing.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Join the club.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
PRATT,Can I take a picture with you?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Are you aware that Native Americans believe photographs steal a little piece of your soul?  Not to worry, mine’s long gone. Fire away.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
PRATT,STAY HERE!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
JAMES RHODES,"GET DOWN, TONY.  GET THE --",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NARRATOR,"December 7, 1941: the day the world changed forever. President Roosevelt declares the United States will build fifty thousand planes to fight the armies of Hirohito and Hitler--",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NARRATOR,Although no such capacity to build existed...,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NARRATOR,"Howard Stark, founder of the fledgling Stark Industries, answers his call to duty --",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NARRATOR,"And builds not fifty, but a hundred thousand planes.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
