,character,line,gender
0,ANNOUNCER,Report to your stations immediately. This is not a drill. We are under attack. We are under attack.,MALE
1,TONY STARK,Shit!,MALE
2,STEVE ROGERS,"Language! JARVIS, what's the view from upstairs?",MALE
3,JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.,MALE
4,THOR,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.,MALE
5,NATASHA ROMANOFF,"At long last is lasting a little long, boys.",FEMALE
6,CLINT BARTON,Yeah. I think we lost the element of surprise.,MALE
7,TONY STARK,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?""",MALE
8,STEVE ROGERS,I know.,MALE
9,STEVE ROGERS,It just slipped out.,MALE
10,STRUCKER,Who gave the order to attack?,MALE
11,FORTRESS SOLDIER,"Herr Strucker, it's the Avengers. They landed in the far woods, the perimeter guard panicked.",MALE
12,STRUCKER,They have to be after the scepter.  Can we hold them?,MALE
13,FORTRESS SOLDIER,They're the Avengers...,MALE
14,STRUCKER,Deploy the rest of the tanks.,MALE
15,FORTRESS SOLDIER,"Yes, sir.",MALE
16,STRUCKER,Concentrate fire on the weak ones. A hit can make them close ranks. Everything we've accomplished. But we're on the verge of our greatest breakthrough.,MALE
17,DR. LIST,Then let's show them what we've accomplished. Send out the twins.,MALE
18,STRUCKER,It's too soon.,MALE
19,DR. LIST,It's what they signed up for.,MALE
20,STRUCKER,My men can hold them.,MALE
21,JARVIS,"Sir, the city is taking fire.",MALE
22,TONY STARK,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion.",MALE
23,IRON LEGION,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.,MALE
24,IRON LEGION,We are here to help.,MALE
25,STRUCKER,"We will not yield! The Americans sent their circus freaks to test us. We will send them back, in bags. No Surrender!",MALE
26,SOLDIERS,No Surrender!,MALE
27,STRUCKER,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been...",MALE
28,DR. LIST,The twins.,MALE
29,STRUCKER,They are not ready to take on...,MALE
30,DR. LIST,"No, no. I mean...",MALE
31,DR. LIST,The Twins.,MALE
32,PIETRO MAXIMOFF,You didn't see that coming?,MALE
33,NATASHA ROMANOFF,Clint!,FEMALE
34,STEVE ROGERS,We have an enhanced in the field.,MALE
35,NATASHA ROMANOFF,Clint's hit!,FEMALE
36,NATASHA ROMANOFF,Somebody want to deal with that bunker?,FEMALE
37,NATASHA ROMANOFF,Thank you.,FEMALE
38,STEVE ROGERS,"Stark, we're really need to get inside.",MALE
39,TONY STARK,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?",MALE
40,JARVIS,There's a pathway below the north tower.,MALE
41,TONY STARK,"Great, I wanna poke it with something.",MALE
42,TONY STARK,"Drawbridge is down, people.",MALE
43,THOR,The enhanced?,MALE
44,STEVE ROGERS,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't.",MALE
45,NATASHA ROMANOFF,"Clint's hit pretty bad, guys. We're gonna need evac.",FEMALE
46,THOR,I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.,MALE
47,STEVE ROGERS,Copy that.,MALE
48,THOR,Looks like they're lining up.,MALE
49,STEVE ROGERS,"Well, they're excited.",MALE
50,THOR,Find the scepter.,MALE
51,TONY STARK,"And for gosh sake, watch your language!",MALE
52,STEVE ROGERS,That's not going away anytime soon.,MALE
53,TONY STARK,"Guys, stop, we gotta talk about this.",MALE
54,TONY STARK,Good talk.,MALE
55,FORTRESS SOLDIER,No it wasn't.,MALE
56,TONY STARK,Sentry mode.,MALE
57,TONY STARK,"Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ.",MALE
58,NATASHA ROMANOFF,We're locked down out here.,FEMALE
59,STEVE ROGERS,"Then get to Banner, time for a lullaby.",MALE
60,TONY STARK,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick.",MALE
61,JARVIS,The wall to your left...I'm reading steel reinforcement and an air current.,MALE
62,TONY STARK,"Please be a secret door, please be a secret door, please be a secret door...",MALE
63,TONY STARK,Yay!,MALE
64,NATASHA ROMANOFF,"Hey, big guy. The sun's getting real low.",FEMALE
65,STEVE ROGERS,Baron Strucker. Hydra's number one thug.,MALE
