,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,character,line,gender
0,0,0,0,0,THE OTHER,"The Tesseract has awakened. It is on a little world, a human world. They would wield its power.",MALE
1,1,1,1,1,THE OTHER,But our ally knows its workings as they never will. He is ready to lead. And our force...,MALE
2,2,2,2,2,THE OTHER,"...our Chitauri, will follow. The world will be his...the universe, yours. And the humans, what can they do but burn?",MALE
3,3,3,3,3,INTERCOM VOICE,"All personnel, evacuation order has been confirmed. Proceed to your designated vehicles...",MALE
4,4,4,4,4,INTERCOM VOICE,...for all campus evacuation.,MALE
5,5,5,5,5,INTERCOM VOICE,This is not a drill. Emergency personnel proceed to your designated vehicles for all campus evacuation.,MALE
6,6,6,6,6,NICK FURY,How bad is it?,MALE
7,7,7,7,7,PHIL COULSON,"That’s the problem, sir. We don’t know.",MALE
8,8,8,8,8,PHIL COULSON,Doctor Selvig read an...,MALE
9,9,9,9,9,PHIL COULSON,...energy surge from the Tesseract four hours ago.,MALE
10,10,10,10,10,NICK FURY,NASA didn’t authorize Selvig could go to test B.,MALE
11,11,11,11,11,PHIL COULSON,He wasn’t testing it. He wasn’t even in the room. Spontaneous event.,MALE
12,12,12,12,12,MARIA HILL,It just turned itself on?,FEMALE
13,13,13,13,13,NICK FURY,Where are the energy levels now?,MALE
14,14,14,14,14,PHIL COULSON,Climbing. When Selvig couldn’t shut it down we ordered evac.,MALE
15,15,15,15,15,NICK FURY,How long to get everyone out?,MALE
16,16,16,16,16,PHIL COULSON,Campus should be clear in the next half hour.,MALE
17,17,17,17,17,NICK FURY,Do better.,MALE
18,18,18,18,18,MARIA HILL,"Sir, evacuation may be futile. ",FEMALE
19,19,19,19,19,NICK FURY,We should tell them to go back to sleep?,MALE
20,20,20,20,20,MARIA HILL,If we can’t control the Tesseract’s energy there may not be a minimum safe distance.,FEMALE
21,21,21,21,21,NICK FURY,I need you to make sure the Phase Two prototypes are shipped out.,MALE
22,22,22,22,22,MARIA HILL,"Sir, is that really a priority right now? ",FEMALE
23,23,23,23,23,NICK FURY,Until such time as the world ends we will act as though it intends to spin on. Clear out the tech below. Every piece of Phase Two on a truck and gone.,MALE
24,24,24,24,24,MARIA HILL,"Yes, Sir. With me.",FEMALE
25,25,25,25,25,NICK FURY,"Talk to me, Doctor. ",MALE
26,26,26,26,26,SELVIG,Director.,MALE
27,27,27,27,27,NICK FURY,Is there anything we know for certain?,MALE
28,28,28,28,28,SELVIG,The Tesseract is misbehaving.,MALE
29,29,29,29,29,NICK FURY,Is that supposed to be funny?,MALE
30,30,30,30,30,SELVIG,"No, it’s not funny at all. The Tesseract is not only active, she’s misbehaving. ",MALE
31,31,31,31,31,NICK FURY,How soon can you pull the plug?,MALE
32,32,32,32,32,SELVIG,"She’s an energy source. We turn off the power, she turns it back on. If she reaches peak level- ",MALE
33,33,33,33,33,NICK FURY,"We prepared for this, Doctor. Harnessing energy from space. ",MALE
34,34,34,34,34,SELVIG,"We don’t have the harness. My calculations are far from complete. She’s throwing off interference, radiation. Nothing harmful, low levels of Gamma radiation. ",MALE
35,35,35,35,35,NICK FURY,That can be harmful. Where’s agent Barton?,MALE
36,36,36,36,36,SELVIG,"The hawk? Up in his nest, as usual.",MALE
37,37,37,37,37,NICK FURY,Agent Barton. Report.,MALE
38,38,38,38,38,NICK FURY,I gave you this detail so you could keep a close eye on things.,MALE
39,39,39,39,39,CLINT BARTON,I see better from a distance.,MALE
40,40,40,40,40,NICK FURY,Have you seen anything that might set this thing off?,MALE
41,41,41,41,41,NASA SCIENTIST,Doctor! It’s spiking again.,FEMALE
42,42,42,42,42,CLINT BARTON,"No one’s come and gone. And Selvig’s clean. No contacts, no IM. If there’s any tampering, sir, it wasn’t this end.",MALE
43,43,43,43,43,NICK FURY,At this end?,MALE
44,44,44,44,44,CLINT BARTON,"Yeah. The Cube is a doorway to the other end of space, right? Doors open from both sides.",MALE
45,45,45,45,45,SELVIG,What’s that?,MALE
46,46,46,46,46,NICK FURY,"Sir, please put down the spear!",MALE
47,47,47,47,47,LOKI,You have heart.,MALE
48,48,48,48,48,LOKI,Please don’t. I still need that.,MALE
49,49,49,49,49,NICK FURY,This doesn’t have to get any messier.,MALE
50,50,50,50,50,LOKI,"Of course it does. I’ve come too far for anything else. I am Loki, of Asgard. And I am burdened with glorious purpose.",MALE
51,51,51,51,51,SELVIG,"Loki, brother of Thor? ",MALE
52,52,52,52,52,NICK FURY,We have no quarrel with your people.,MALE
53,53,53,53,53,LOKI,An ant has no quarrel with a boot.,MALE
54,54,54,54,54,NICK FURY,You planning to step on us?,MALE
55,55,55,55,55,LOKI,"I come with glad tidings, of a world made free. ",MALE
56,56,56,56,56,NICK FURY,Free from what?,MALE
57,57,57,57,57,LOKI,"Freedom. Freedom is life’s great lie. Once you accept that, in your heart you will know peace.",MALE
58,58,58,58,58,NICK FURY,"Yeah, you say peace. I kinda think you mean the other thing. ",MALE
59,59,59,59,59,CLINT BARTON,"Sir, Director Fury is stalling. This place is about to blow and drop a hundred feet of rock on us. He means to bury us. ",MALE
60,60,60,60,60,NICK FURY,Like the pharaohs of old.,MALE
61,61,61,61,61,SELVIG,He’s right. The portal is collapsing in on itself. We’ve got maybe two minutes before this goes critical.,MALE
62,62,62,62,62,LOKI,Well then.,MALE
63,63,63,63,63,CLINT BARTON,We need this vehicles.,MALE
64,64,64,64,64,MARIA HILL,Who’s that?,FEMALE
65,65,65,65,65,CLINT BARTON,Didn’t tell me.,MALE
66,66,66,66,66,NICK FURY,Hill!,MALE
67,67,67,67,67,NICK FURY,Do you copy?,MALE
68,68,68,68,68,NICK FURY,Barton...has turned.,MALE
69,69,69,69,69,NICK FURY,Get the Tesseract. Shut them down.,MALE
70,70,70,70,70,PHIL COULSON,"Let’s just go. No-no-no! Leave it, leave it. GO!",MALE
71,71,71,71,71,PHIL COULSON,"We’re clear upstairs, sir...",MALE
72,72,72,72,72,PHIL COULSON,...We need to go.,MALE
73,73,73,73,73,PHIL COULSON,Director.,MALE
74,74,74,74,74,PHIL COULSON,"Director Fury, do you copy? ",MALE
75,75,75,75,75,NICK FURY,The Tesseract is with a hostile force. I have men down. Hill?,MALE
76,76,76,76,76,MARIA HILL,A lot of men still under. Don’t know how many survivors.,FEMALE
77,77,77,77,77,NICK FURY,Sound a general call. I want every living soul...,MALE
78,78,78,78,78,NICK FURY,...not working rescue looking for that briefcase.,MALE
79,79,79,79,79,MARIA HILL,Roger that.,FEMALE
80,80,80,80,80,NICK FURY,"Coulson, get back to base. ",MALE
81,81,81,81,81,NICK FURY,This is a level seven.,MALE
82,82,82,82,82,NICK FURY,As of right now...,MALE
83,83,83,83,83,NICK FURY,We are at war.,MALE
84,84,84,84,84,PHIL COULSON,What do we do?,MALE
85,85,85,85,85,GEORGI LUCHKOV,This isn’t how I wanted this evening to go.,FEMALE
86,86,86,86,86,NATASHA ROMANOFF,I know how you wanted this evening. Believe me this is better.,FEMALE
87,87,87,87,87,GEORGI LUCHKOV,"Who are you working for? Lermentov, yes?",FEMALE
88,88,88,88,88,GEORGI LUCHKOV,Does he think we have to go through him to move our cargo?,FEMALE
89,89,89,89,89,NATASHA ROMANOFF,I thought General Solohob is in charge of the export business.,FEMALE
90,90,90,90,90,GEORGI LUCHKOV,"Solohob. A bagman, a front. Your outdated information betrays you. The famous Black Widow is just another pretty face. ",FEMALE
91,91,91,91,91,NATASHA ROMANOFF,You really think I’m pretty?,FEMALE
92,92,92,92,92,GEORGI LUCHKOV,Tell Lermentov we don’t need him to move the tanks. Tell him he is out. Well...You may have to write it.,FEMALE
93,93,93,93,93,WEASELLY THUG,It’s for her.,MALE
94,94,94,94,94,GEORGI LUCHKOV,You listen carefully-,FEMALE
95,95,95,95,95,PHIL COULSON,"You’re at 1- 14 Silensky Plaza, 3rd floor. We have an F-22 exactly eight miles out. Put the woman on the phone or I will blow up the block before you can make the lobby.  We need you to come in. ",MALE
96,96,96,96,96,NATASHA ROMANOFF,Are you kidding? I’m working.,FEMALE
97,97,97,97,97,PHIL COULSON,This takes precedence.,MALE
