,character,line,gender
0,SON,Baba?,MALE
1,FATHER,"Yes, my son?",MALE
2,SON,Tell me a story.,MALE
3,FATHER,Which one?,MALE
4,SON,The story of home.,MALE
5,FATHER,"Millions of years ago, a meteorite made of vibranium, the strongest substance in the universe struck the continent of Africa affecting the plant life around it.",MALE
6,FATHER,"And when the time of man came, five tribes settled on it and called it Wakanda. The tribes lived in constant war with each other until a warrior shaman received a vision from the Panther goddess Bast who led him to the Heart Shaped Herb, a plant that granted him super human strength, speed, and instincts.",MALE
7,FATHER,"The warrior became King and the first Black Panther, the protector of Wakanda.",MALE
8,FATHER,"Four tribes agreed to live under the King's rule, but the Jabari tribe isolated themselves in the mountains.",MALE
9,FATHER,"The Wakandans used vibranium to develop technology more advanced than any other nation, but as Wakanda thrived the world around it descended further into chaos.",MALE
10,FATHER,"To keep vibranium safe, the Wakandans vowed to hide in plain sight, keeping the truth of their power from the outside world.",MALE
11,SON,And we still hide Baba?,MALE
12,FATHER,Yes.,MALE
13,SON,Why?,MALE
14,N'JOBU,"Hey look, if we get in and out quick won't be any worries. You in the van come in through from the west, come around the corner, land right here. Me and the twins pulling up right here, we leavin' this car behind, ok? We coming...",MALE
15,N'JOBU,Hide the straps.,MALE
16,JAMES,Is it the Feds?,MALE
17,N'JOBU,No.,MALE
18,JAMES,It's two Grace Jones looking chicks... they're holding spears...,MALE
19,N'JOBU,Open it.,MALE
20,JAMES,You serious?,MALE
21,N'JOBU,They won't knock again.,MALE
22,DORA MILAJE,Who are you?,FEMALE
23,N'JOBU,"Prince N'Jobu, son of Azzuri.",MALE
24,DORA MILAJE,Prove to me you are one of us.,FEMALE
25,N'JOBU,My King...,MALE
26,T'CHALA,Leave us.,MALE
27,N'JOBU,"This is James. I trust him with my life. He stays, with your permission, King T'Chaka.",MALE
28,T'CHALA,As you wish. At ease…,MALE
29,T'CHALA,Come baby brother.  Let me see how you're holding up.,MALE
30,T'CHALA,You look strong.,MALE
31,N'JOBU,Glory to Bast. I am in good health. How is home?,MALE
32,T'CHALA,"Not so good, baby brother. There has been an attack.",MALE
33,T'CHALA,"This man, Ulysses Klaue, stole a quarter ton of vibraniurn from us and triggered a bomb at the border to escape. Many lives were lost. He knew where we hid the vibranium, and how to strike.",MALE
34,T'CHALA,He had someone on the inside.,MALE
35,N'JOBU,Why are you here?,MALE
36,T'CHALA,Because I want you look me in the eyes and tell me why you betrayed Wakanda.,MALE
37,N'JOBU,I did no such thing.,MALE
38,T'CHALA,Tell him who you are.,MALE
39,JAMES,"Zuri, Son of Badu.",MALE
40,N'JOBU,What?,MALE
41,N'JOBU,"James, James you lied to me? I invite you into my home and you were Wakandan this whole time?",MALE
42,JAMES,You betrayed Wakanda!,MALE
43,N'JOBU,How could you lie to me like -,MALE
44,T'CHALA,Stand down. Did you think that you were the only spy we sent here?,MALE
45,T'CHALA,"Prince N'Jobu, you will return home at once, where you will face the council and inform them of your crimes.",MALE
46,BBC ANCHOR,"The tiny nation of Wakanda is mourning the death of its monarch, King T'Chaka. The beloved ruler was one of many confirmed dead after a terrorist attack at the United Nations a week ago. The Suspect has since been apprehended.",FEMALE
47,BBC ANCHOR,"Though it remains one of the poorest countries in the world, fortified by mountain ranges and an impenetrable rain forest, Wakanda does not engage in international trade or accept aid. The succession of the throne is expected to fall to the oldest of the King's two children, Prince T'Challa.",FEMALE
48,OKOYE,"My Prince, coming up on them now.",FEMALE
49,T'CHALA,"No need, Okoye. I can handle this alone.",MALE
50,T'CHALA,I will get Nakia out as quickly as possible.,MALE
51,OKOYE,Just don't freeze when you see her.,FEMALE
52,T'CHALA,What are you talking about? I never freeze.,MALE
53,MILITANT LEADER,Defense position!,MALE
54,CARGO TRUCK MILITANT,No games.,MALE
55,MILITANT LEADER,What do you see?,MALE
56,MILITANT LEADER,Come in! Come in!,MALE
57,NAKIA,This one is just a boy... he got kidnapped as well.,FEMALE
58,T'CHALA,Nakia... I... I wanted to...,MALE
59,NIGERIAN MILITANT,Hey!!!,MALE
60,NIGERIAN MILITANT,"I have her! Don't move, I will shoot! I will shoot her right now!",MALE
61,OKOYE,You froze.,FEMALE
62,NAKIA,"Why are you here? Eesh, you ruined my mission!",FEMALE
63,T'CHALA,"My father is dead, Nakia.",MALE
64,T'CHALA,"I will be crowned King tomorrow, and I wish for you to be there.",MALE
65,NAKIA,"Carry yourselves home now, and take the boy. Get him to his people.",FEMALE
66,NIGERIAN WOMAN,Thank you.,FEMALE
67,OKOYE,You will speak nothing of this day.,FEMALE
68,OKOYE,Sister Nakia... My Prince. We are home.,FEMALE
69,T'CHALA,This never gets old.,MALE
70,NAKIA,Queen Mother... Princess. My comfort for your loss.,FEMALE
71,RAMONDA,"Thank you, Nakia. It is so good to have you back with us.",FEMALE
