,character,line,gender
0,SEARCH TEAM LEADER,Are you the guys from Washington?,MALE
1,SHIELD TECH,You get many other visitors out here?,MALE
2,SHIELD LIEUTENANT,How long have you been on site?,MALE
3,SEARCH TEAM LEADER,Since this morning. A Russian oil team called it in about 18 hours ago.,MALE
4,SHIELD LIEUTENANT,How come nobody spotted it before?,MALE
5,SEARCH TEAM LEADER,It’s really not that surprising. This landscape’s changing all the time. You got any ideas what this thing is exactly?,MALE
6,SHIELD LIEUTENANT,I don’t know. It’s probably a weather balloon.,MALE
7,SEARCH TEAM LEADER,I don’t think so. You know we don’t have the equipment for a job like this.,MALE
8,SHIELD TECH,How long before we can start craning it out?,MALE
9,SEARCH TEAM LEADER,I don’t think you quite understand. You guys are gonna need one hell of a crane!,MALE
10,SHIELD LIEUTENANT,"Base, we’re in.  What is this?  Careful.",MALE
11,SHIELD TECH,Lieutenant! What is it?,MALE
12,SHIELD LIEUTENANT,"My God!  Base, give me a line to the Colonel.",MALE
13,VOICE FROM EARPIECE,"It’s 3 a.m., sir.",NEUTRAL
14,SHIELD LIEUTENANT,I don’t care what time it is. This one’s waited long enough.,MALE
15,JAN,They have come for it!,MALE
16,TOWER KEEPER,They have before.,MALE
17,JAN,Not like this.,MALE
18,TOWER KEEPER,Let them come. They will never find it.,MALE
19,HYDRA LIEUTENANT,"Open it! Quickly, before he…",MALE
20,RED SKULL,It has taken me a long time to find this place.  You should be commended.  Help him up.,MALE
21,RED SKULL,I think that you are man of great vision. And in this way we are much alike.,MALE
22,TOWER KEEPER,I am nothing like you.,MALE
23,RED SKULL,"No, of course. But what others see as superstition, you and I know to be a science.",MALE
24,TOWER KEEPER,What you seek is just a legend.,MALE
25,RED SKULL,"Then why make such an effort to conceal it?  The Tesseract was the jewel of Odin’s treasure room.  It’s not something one buries. But I think it is close, yes?",MALE
26,TOWER KEEPER,I cannot help you.,MALE
27,RED SKULL,No. But maybe you can help your village. You must have some friends out there. Some… some little grandchildren perhaps. I have no need for them to die.,MALE
28,RED SKULL,"Yggdrasil. Tree of the world. Guardian of wisdom and fate, also.  And the Führer digs for trinkets in the desert. You have never seen this, have you?",MALE
29,TOWER KEEPER,It’s not for the eyes of ordinary men.,MALE
30,RED SKULL,Exactly.  Gove the order to open fire.,MALE
31,HYDRA LIEUTENANT,Jawohl!,MALE
32,TOWER KEEPER,Fool! You cannot control the power you hold. You will burn!,MALE
33,RED SKULL,I already have.,MALE
34,4F DOCTOR,"O’Connel, Michael. Kaminsky, Henry.",MALE
35,STEVE ROGERS,"Boy, a lot of guys getting killed over there.",MALE
36,4F DOCTOR,"Rogers, Steven.",MALE
37,ENLISTMENT GUY,"It kind of makes you think twice about enlisting, huh?",MALE
38,STEVE ROGERS,Nope.,MALE
39,4F DOCTOR,Rogers. What did your father die of?,MALE
40,STEVE ROGERS,Mustard gas. He was in the hundred and seventh infantry. I was hoping I could be assigned…,MALE
41,4F DOCTOR,Your mother?,MALE
42,STEVE ROGERS,"She was a nurse in a TB ward. Got hit, couldn’t shake it.",MALE
43,4F DOCTOR,"Sorry, son.",MALE
44,STEVE ROGERS,"Look, just give me a chance.",MALE
45,4F DOCTOR,You’d be ineligible on your asthma alone.,MALE
46,STEVE ROGERS,Is there anything you can do?,MALE
47,4F DOCTOR,I’m doing it. I’m saving your life.,MALE
48,COMMERCIAL ANNOUNCER,"War continues to ravage Europe. But help is on the way. Every able-bodied young man is lining up to serve his country. Even little Timmy is doing his part collecting scrap metal. Nice work, Timmy!",MALE
49,LOUD JERK,Who cares? Play the movie already!,MALE
50,STEVE ROGERS,"Hey, you wanna show some respect?",MALE
51,COMMERCIAL ANNOUNCER,"Meanwhile, overseas, our brave boys are showing the Axis powers that the price freedom is never too high.",MALE
52,LOUD JERK,"Let’s got! Get on with it! Hey, just start the cartoon!",MALE
53,STEVE ROGERS,"Hey buddy, you wanna shut up?!",MALE
54,COMMERCIAL ANNOUNCER,"Together with Allied forces, we’ll face any threat, no matter the size.",MALE
55,LOUD JERK,"You just don’t know when to give up, do you?",MALE
56,STEVE ROGERS,I can do this all day.,MALE
57,JAMES BARNES,Hey! Pick on someone your own size.,MALE
58,JAMES BARNES,"Sometimes, I think you like getting punched.",MALE
59,STEVE ROGERS,I had him on the ropes.,MALE
60,JAMES BARNES,How many times is this?,MALE
61,JAMES BARNES,"Oh, you’re from Paramus now? You know it’s illegal to lie on the enlistment form. And seriously, Jersey?",MALE
62,STEVE ROGERS,You get your orders?,MALE
63,JAMES BARNES,The one-o-seventh. Sergeant James Barnes. Shipping out for England first thing tomorrow.,MALE
64,STEVE ROGERS,I should be going.,MALE
65,JAMES BARNES,"Come on, man. My last night! Gotta get you cleaned up.",MALE
66,STEVE ROGERS,Why? Where are we going?,MALE
67,JAMES BARNES,The future.,MALE
68,JAMES BARNES,"I don’t see what the problem is. You’re about to be the last eligible man in New York. You know, there’s three and a half million women here.",MALE
69,STEVE ROGERS,"Well, I’d settle for just one.",MALE
