,Unnamed: 0,character,line,gender
0,0,VASILY KARPOV,"Longing. Rusted. Seventeen. Daybreak. Furnace. Nine. Benign. Homecoming. One. Freight car. Good morning, Soldier.",MALE
1,1,BUCKY,Ready to comply.,MALE
2,2,VASILY KARPOV,I have a mission for you. Sanction and extract. No witnesses.,MALE
3,3,VASILY KARPOV,"Well done, Soldier.",MALE
4,4,STEVE ROGERS,"All right, what do you see?",MALE
5,5,WANDA MAXIMOFF,Standard beat cops. Small station. Quiet street. It’s a good target.,FEMALE
6,6,STEVE ROGERS,"There’s an ATM in the south corner, which means . . .",MALE
7,7,WANDA MAXIMOFF,Cameras.,FEMALE
8,8,STEVE ROGERS,Both cross streets are one way.,MALE
9,9,WANDA MAXIMOFF,"So, compromised escape routes.",FEMALE
10,10,STEVE ROGERS,"Means our guy doesn't care about being seen, he isn't afraid to make a mess on the way out. You see that Range Rover halfway up the block?",MALE
11,11,WANDA MAXIMOFF,"Yeah, the red one? It’s cute.",FEMALE
12,12,NATASHA ROMANOFF,"It's also bulletproof, which means private security, which means more guns, which means more headaches for somebody. Probably us.",FEMALE
13,13,WANDA MAXIMOFF,"You guys know I can move things with my mind, right?",FEMALE
14,14,NATASHA ROMANOFF,Looking over your shoulder needs to become second nature.,FEMALE
15,15,SAM WILSON,Anybody ever tell you you're a little paranoid?,MALE
16,16,NATASHA ROMANOFF,Not to my face. Why? Did you hear something?,FEMALE
17,17,STEVE ROGERS,"Eyes on target, folks. This is the best lead we've had on Rumlow in six months. I don't want to lose him.",MALE
18,18,SAM WILSON,If he sees us coming that won't be a problem. He kind of hates us.,MALE
19,19,STEVE ROGERS,"Sam, see that garbage truck? Tag it.",MALE
20,20,SAM WILSON,Give me X-ray.,MALE
21,21,SAM WILSON,That truck’s loaded for max weight. And the driver’s armed.,MALE
22,22,NATASHA ROMANOFF,It’s a battering ram.,FEMALE
23,23,STEVE ROGERS,Go now.,MALE
24,24,WANDA MAXIMOFF,What?,FEMALE
25,25,STEVE ROGERS,He’s not hitting the police.,MALE
26,26,STEVE ROGERS,"Body armor, AR-15's. I make seven hostiles.",MALE
27,27,SAM WILSON,I make 5.,MALE
28,28,WANDA MAXIMOFF,Sam.,FEMALE
29,29,SAM WILSON,Four.,MALE
30,30,SAM WILSON,Rumlow’s on the third floor.,MALE
31,31,STEVE ROGERS,"Wanda, just like we practiced.",MALE
32,32,WANDA MAXIMOFF,What about the gas?,FEMALE
33,33,STEVE ROGERS,Get it out.,MALE
34,34,BROCK RUMLOW,Pack it up.,MALE
35,35,BROCK RUMLOW,He’s here.,MALE
36,36,STEVE ROGERS,Rumlow has a biological weapon.,MALE
37,37,NATASHA ROMANOFF,I’m on it.,FEMALE
38,38,BROCK RUMLOW,I don't work like that no more.,MALE
39,39,BROCK RUMLOW,Fire in the hole.,MALE
40,40,MERCENARY,No!,MALE
41,41,STEVE ROGERS,Sam. He's in an AFV heading north.,MALE
42,42,BROCK RUMLOW,Take this to the airstrip. We're not gonna outrun them. Lose the truck.,MALE
43,43,MERCENARY,Where are you going to meet us?,MALE
44,44,BROCK RUMLOW,I’m not.,MALE
45,45,SAM WILSON,"I got four, they're splitting up.",MALE
46,46,NATASHA ROMANOFF,I got the two on the left.,FEMALE
47,47,STEVE ROGERS,They ditched their gear. It's a shell game now. One of them has the payload.,MALE
48,48,BROCK RUMLOW,"There you are, you son of a bitch. I’ve been waiting for this!",MALE
49,49,SAM WILSON,He doesn't have it. I’m empty.,MALE
50,50,NATASHA ROMANOFF,Out of the way!,FEMALE
51,51,MERCENARY,Drop it. Or I’ll drop this. Drop it!,MALE
52,52,MERCENARY,He'll do it!,MALE
53,53,NATASHA ROMANOFF,"Payload secure. Thanks, Sam.",FEMALE
54,54,SAM WILSON,Don't thank me.,MALE
55,55,NATASHA ROMANOFF,I’m… not thanking that thing.,FEMALE
56,56,SAM WILSON,His name is Redwing.,MALE
57,57,NATASHA ROMANOFF,I'm still not thanking it.,FEMALE
58,58,SAM WILSON,"He's cute. Go ahead, pet him.",MALE
59,59,BROCK RUMLOW,Come on!,MALE
60,60,BROCK RUMLOW,This is for dropping a building on my face.,MALE
61,61,BROCK RUMLOW,"I think I look pretty good, all things considered.",MALE
62,62,STEVE ROGERS,Who's your buyer?,MALE
63,63,BROCK RUMLOW,"You know, he knew you. You pal, your buddy, your Bucky.",MALE
64,64,STEVE ROGERS,What did you say?,MALE
65,65,BROCK RUMLOW,"He remembered you. I was there. He got all weepy about it. Till they put his brain back in a blender. He wanted you to know something. He said to me, ""Please tell Rogers. When you gotta go, you gotta go."" And you're coming with me.",MALE
66,66,STEVE ROGERS,Oh my . . .  Sam . . . We need . . . Fire and Rescue . . . on the south side of the building. We gotta get up there.,MALE
67,67,MARIA STARK,"Try to remember the kind of September. When grass was green . . .  Wake up, dear, and say goodbye to your father.",FEMALE
68,68,HOWARD STARK,Who's the homeless person on the couch?,MALE
69,69,TONY STARK,This is why I love coming home for Christmas . . . right before you leave town.,MALE
70,70,MARIA STARK,"Be nice, dear, he's been studying abroad.",FEMALE
71,71,HOWARD STARK,"Really, which broad? What's her name?",MALE
72,72,TONY STARK,Candice.,MALE
73,73,HOWARD STARK,Do me a favor? Try not to burn the house down before Monday.,MALE
74,74,TONY STARK,"Okay, so it's Monday. That is good to know. I will plan my toga party accordingly. Where you going?",MALE
75,75,MARIA STARK,You father's flying us to the Bahamas for a little getaway.,FEMALE
76,76,HOWARD STARK,We might have to make a quick stop.,MALE
77,77,TONY STARK,"At the Pentagon. Right? Don't worry, you're gonna love the holiday menu at the commissary.",MALE
78,78,HOWARD STARK,"You know, they say sarcasm is a metric for potential. If that's true, you'll be a great man some day. I'll get the bags.",MALE
79,79,MARIA STARK,"He does miss you when you are not here. And frankly, you're going to miss us. Because this is the last time we're all going to be together. You know what's about to happen. Say something. If you don't, you'll regret it.",FEMALE
80,80,TONY STARK,"I love you, Dad. And I know you did the best you could.",MALE
81,81,TONY STARK,"That's how I wished it happened. Binarily Augmented Retro-Framing, or BARF. God, I gotta work on that acronym. An extremely costly method of hijacking the hippocampus to . . . clear traumatic memories. Huh.",MALE
82,82,TONY STARK,"It doesn't change the fact that they never made it to the airport . . . or all the things I did to avoid processing my grief, but . . .  Plus, 611 million dollars for my little therapeutic experiment? No one in the right mind would've ever funded it.",MALE
83,83,TONY STARK,"Help me out, what's the MIT mission statement? ""To generate, disseminate . . . and preserve knowledge. And work with others . . . to bring it to bear on the world's great challenges."" Well, you are the others. And, quiet as it's kept . . . the challenges facing you are the greatest mankind's ever known. Plus, most of you are broke.",MALE
84,84,TONY STARK,"Oh, I'm sorry. Rather, you were. As of this moment . . . every student has been made an equal recipient of the Inaugural September Foundation Grant. As in . . . all of your projects have just been approved and funded.",MALE
85,85,TONY STARK,"No strings, no taxes… just re-frame the future! Starting now.",MALE
86,86,TONY STARK,Go break some eggs.,MALE
87,87,MIT TEACHER,"Wow. Wow. That uh . . . that took my breathe away. Oh, Tony! So generous. So much money! Wow! Out of curiosity . . . will any portion of that grant be made available to faculty? I know, ""Ooh, gross,"" but hear me out. I have got this killer idea for a self-cooking hot dog. Basically, chemical detonator embedded . . .",MALE
88,88,TONY STARK,"Restroom's this way, yeah?",MALE
89,89,MIT TEACHER,Yeah. Embedded in the meat shaft.,MALE
90,90,STARK'S ASSISTANT,"Mr. Stark, I am so sorry about the teleprompter. I didn't know Miss Potts had cancelled. They didn't have time to fix it.",FEMALE
91,91,TONY STARK,It's . . . fine. I'll be right back.,MALE
92,92,MIT TEACHER,We'll catch up later.,MALE
93,93,MRS. SPENCER,"That was nice, what you did for those young people.",FEMALE
94,94,TONY STARK,"Ah, they deserve it. Plus, it helps ease my conscience.",MALE
95,95,MRS. SPENCER,They say there's a correlation between generosity and guilt. But if you've got the money . . . break as many eggs as you like. Right?,FEMALE
96,96,TONY STARK,Are you going up?,MALE
97,97,MRS. SPENCER,I'm right where I want to be.,FEMALE
98,98,TONY STARK,"Okay, okay. Hey! Sorry, it's an occupational hazard.",MALE
99,99,MRS. SPENCER,I work for the State Department. Human Resources. I know it's boring . . . but it enabled me to raise a son. I'm very proud of what he grew up to be.,FEMALE
100,100,MRS. SPENCER,His name was Charlie Spencer. You murdered him. In Sokovia. Not that it matters in the least to you. You think you fight for us. You just fight for yourself.,FEMALE
101,101,MRS. SPENCER,"Who's going to avenge my son, Stark? He's dead . . . and I blame you.",FEMALE
102,102,NEWS ANCHOR,"11 Wakandans were among those killed during a confrontation between the Avengers and a group of mercenaries in Lagos, Nigeria, last month. The traditionally reclusive Wakandans were on an outreach mission in Lagos when the attack occurred.",MALE
103,103,T'CHALA,"Our people's blood is spilled on foreign soil. Not only because of the actions of criminals, but by the indifference of those pledged to stop them. Victory at the expense of the innocent, is no victory at all.",MALE
104,104,NEWS ANCHOR,The Wakanda king went on to . . .,MALE
105,105,NEWS ANCHOR,"They are operating outside and above the international law. Because that's the reality, if we don't respond to acts like these.",MALE
106,106,WANDA MAXIMOFF,It's my fault.,FEMALE
107,107,STEVE ROGERS,That's not true.,MALE
108,108,WANDA MAXIMOFF,Turn the TV back on. They're being very specific.,FEMALE
109,109,STEVE ROGERS,I should've clocked that bomb vest long before you had to deal with it.,MALE
110,110,STEVE ROGERS,"Rumlow said ""Bucky"" and . . . all of a sudden I was a 16-year-old kid again, in Brooklyn.",MALE
111,111,STEVE ROGERS,And people died. It's on me.,MALE
112,112,WANDA MAXIMOFF,It's on both of us.,FEMALE
113,113,STEVE ROGERS,"This job . . . we try to save as many people as we can. Sometimes that doesn't mean everybody. But if we can't find a way to live with that, next time . . . maybe nobody gets saved.",MALE
114,114,WANDA MAXIMOFF,Vis! We talked about this.,FEMALE
115,115,VISION,"Yes, but the door was open so I assumed that . . .",MALE
116,116,VISION,Captain Rogers wished to know when Mr. Stark was arriving.,MALE
117,117,STEVE ROGERS,Thank you. We'll be right down.,MALE
118,118,VISION,"I'll . . . use the door. Oh, and apparently, he's brought a guest.",MALE
119,119,STEVE ROGERS,We know who it is?,MALE
120,120,VISION,The Secretary of State.,MALE
121,121,SECRETARY ROSS,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me: Perspective. The world owes the Avengers an un-payable debt. You have fought for us, protected us, risked your lives . . . but while a great many people see you as heroes, there are some . . . who would prefer the word ""vigilantes"".",MALE
122,122,NATASHA ROMANOFF,"And what word would you use, Mr. Secretary?",FEMALE
123,123,SECRETARY ROSS,"How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?",MALE
124,124,SECRETARY ROSS,New York.,MALE
125,125,SECRETARY ROSS,Washington DC.,MALE
126,126,SECRETARY ROSS,Sokovia.,MALE
127,127,SECRETARY ROSS,Lagos.,MALE
128,128,STEVE ROGERS,Okay. That's enough.,MALE
129,129,SECRETARY ROSS,"For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution.",MALE
130,130,SECRETARY ROSS,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary.",MALE
131,131,STEVE ROGERS,The Avengers were formed to make the world a safer place. I feel we've done that.,MALE
132,132,SECRETARY ROSS,"Tell me, Captain, do you know where Thor and Banner are right now?",MALE
133,133,SECRETARY ROSS,"If I misplaced a couple of 30 megaton nukes . . . you can bet there'd be consequences. Compromise. Reassurance. That's how the world works. Believe me, this is the middle ground.",MALE
134,134,JAMES RHODES,"So, there are contingencies.",MALE
135,135,SECRETARY ROSS,"Three days from now, the UN meets in Vienna to ratify the Accords.",MALE
136,136,SECRETARY ROSS,Talk it over.,MALE
137,137,NATASHA ROMANOFF,And if we come to a decision you don't like?,FEMALE
138,138,SECRETARY ROSS,Then you retire.,MALE
139,139,HELMUT ZEMO,Hello? Is this your car out front?,MALE
140,140,HELMUT ZEMO,I jumped the curb.,MALE
141,141,HELMUT ZEMO,"Maybe we could take care of it ourselves. If you wanna call the cops, tha--that's okay too, I guess.",MALE
142,142,VASILY KARPOV,No. No cops.,MALE
143,143,HELMUT ZEMO,Thank you.,MALE
144,144,HELMUT ZEMO,"You have kept your looks, Colonel. Congratulations.",MALE
145,145,HELMUT ZEMO,"""Mission report: December 16, 1991.""",MALE
146,146,VASILY KARPOV,Who are you?,MALE
147,147,HELMUT ZEMO,"My name is Zemo. I will repeat my question. Mission report. December 16, 1991.",MALE
148,148,VASILY KARPOV,How did you find me?,MALE
149,149,HELMUT ZEMO,"When SHIELD fell, Black Widow released HYDRA files to the public. Millions of pages much of it encrypted, not easy to decipher. But . . . I have experience. And patience. A man can do anything if he has those.",MALE
150,150,VASILY KARPOV,What do you want?,MALE
151,151,HELMUT ZEMO,Mission report. December 16. 1991.,MALE
152,152,VASILY KARPOV,Go . . . to . . . hell.,MALE
153,153,HELMUT ZEMO,HYDRA deserves its place on the ash heap. So your death would not bother me. But I'd have to use this book . . . and other bloodier methods to find what I need. I don't look forward to that. You'd only be dying for . . . your pride.,MALE
154,154,VASILY KARPOV,Hail HYDRA.,MALE
155,155,JAMES RHODES,"Secretary Ross has a Congressional Medal of Honor, which is one more than you have.",MALE
156,156,SAM WILSON,So let's say we agree to this thing. How long is it gonna be before they LoJack us like a bunch of common criminals?,MALE
157,157,JAMES RHODES,"A 117 countries want to sign this. 117, Sam, and you're just like, ""No, that's cool. We got it. """,MALE
158,158,SAM WILSON,How long are you going to play both sides?,MALE
159,159,VISION,I have an equation.,MALE
160,160,SAM WILSON,"Oh, this will clear it up.",MALE
161,161,VISION,"In the eight years since Mr. Stark announced himself as Iron Man, the number of known enhanced persons has grown exponentially. And during the same period, the number of potentially world-ending events has risen at a commensurate rate.",MALE
162,162,STEVE ROGERS,Are you saying it's our fault?,MALE
163,163,VISION,I'm saying there may be a causality. Our very strength invites challenge. Challenge incites conflict. And conflict . . . breeds catastrophe. Oversight . . . oversight is not an idea that can be dismissed out of hand.,MALE
164,164,JAMES RHODES,Boom.,MALE
165,165,NATASHA ROMANOFF,Tony. You are being uncharacteristically non-hyper-verbal.,FEMALE
166,166,STEVE ROGERS,It's because he's already made up his mind.,MALE
167,167,TONY STARK,"Boy, you know me so well.",MALE
168,168,TONY STARK,"Actually, I'm nursing an electromagnetic headache.",MALE
169,169,TONY STARK,"That's what's going on, Cap. It's just pain. It's discomfort. Who's putting coffee grounds in the disposal? Am I running a bed and breakfast for a biker gang?",MALE
