,character,line,gender
0,ASGARDIAN PA,"This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!",MALE
1,EBONY MAW,"Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos.",MALE
2,THANOS,"I know what it's like to lose. To feel so desperately that you're right... yet to fail, nonetheless.  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say... I AM.",MALE
3,THOR,You talk too much.,MALE
4,THANOS,"The Tesseract, or your brother's head. I assume you have a preference.",MALE
5,LOKI,"Oh, I do. Kill away!",MALE
6,LOKI,"ALL RIGHT, STOP!",MALE
7,THOR,We don't have the Tesseract. It was destroyed on Asgard.,MALE
8,THOR,You really are the worst brother.,MALE
9,LOKI,"I assure you, brother... the sun will shine on us again.",MALE
10,THANOS,"Your optimism is misplaced, Asgardian.",MALE
11,LOKI,"Well, for one thing, I'm not Asgardian. And for another... we have a Hulk.",MALE
12,EBONY MAW,Let him have his fun.,MALE
13,HEIMDALL,Allfathers… let the dark magic flow through me one last... time.,MALE
14,THANOS,That was a mistake.,MALE
15,THOR,NO!!!  You're going to die for that!,MALE
16,EBONY MAW,Shh.,MALE
17,EBONY MAW,"My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp.",MALE
18,THANOS,"There are two more Stones on Earth. Find them, my children, and bring them to me on Titan.",MALE
19,PROXIMA MIDNIGHT,"Father, we will not fail you.",FEMALE
20,CULL OBSIDIAN,"We're going to New York City and We will tear The Avengers Apart and Smash! Once and for all, my lord.",MALE
21,LOKI,"If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena.",MALE
22,THANOS,If you consider failure experience.,MALE
23,LOKI,"I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity.",MALE
24,THANOS,"""Undying?"" You should choose your words more carefully.",MALE
25,LOKI,You will... never be... a god.,MALE
26,THOR,NO!,MALE
27,THANOS,No resurrections this time.,MALE
28,THOR,No… Loki….,MALE
29,STEPHEN STRANGE,Seriously? You don't have any money?,MALE
30,WONG,Attachment to the material is detachment from the spiritual.,MALE
31,STEPHEN STRANGE,I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye.,MALE
32,WONG,"Oh, wait, wait, wait, I think I have 200.",MALE
33,STEPHEN STRANGE,Dollars?,MALE
34,WONG,Rupees.,MALE
35,STEPHEN STRANGE,Which is?,MALE
36,WONG,"Uh, buck and a half.",MALE
