,character,line,gender
0,TONY STARK,"Oh, I get it.  You guys aren’t allowed to talk.  Is that it?  Are you not allowed to talk?",MALE
1,JIMMY,No.  We’re allowed to talk.,MALE
2,TONY STARK,Oh.  I see.  So it’s personal.,MALE
3,RAMIREZ,I think they’re intimidated.,MALE
4,TONY STARK,"Good God, you’re a woman.",MALE
5,TONY STARK,"I, honestly, I couldn’t have called that. I would apologize, but isn’t that what we’re going for here? I saw you as a soldier first. ",MALE
6,JIMMY,"I have a question, sir. ",MALE
7,TONY STARK,Please.,MALE
8,JIMMY,Is it true you’re twelve for twelve with last years Maxim cover girls?,MALE
9,TONY STARK,"Excellent question. Yes and no. March and I had a schedule conflict but, thankfully, the Christmas cover was twins.  Anyone else? You, with the hand up. ",MALE
10,PRATT,It’s a little embarrassing.,MALE
11,TONY STARK,Join the club.,MALE
12,PRATT,Can I take a picture with you?,MALE
13,TONY STARK,"Are you aware that Native Americans believe photographs steal a little piece of your soul?  Not to worry, mine’s long gone. Fire away.",MALE
14,PRATT,STAY HERE!,MALE
15,JAMES RHODES,"GET DOWN, TONY.  GET THE --",MALE
16,NARRATOR,"December 7, 1941: the day the world changed forever. President Roosevelt declares the United States will build fifty thousand planes to fight the armies of Hirohito and Hitler--",MALE
17,NARRATOR,Although no such capacity to build existed...,MALE
18,NARRATOR,"Howard Stark, founder of the fledgling Stark Industries, answers his call to duty --",MALE
19,NARRATOR,"And builds not fifty, but a hundred thousand planes.",MALE
20,NARRATOR,"Later, Stark’s work on the Manhattan project makes the end of the war possible.",MALE
21,NARRATOR,Stark Industries would go on to contribute to every major weapons system through the Cold War --,MALE
22,NARRATOR,But Howard Stark’s greatest achievement would come in 1973--,MALE
23,NARRATOR,"From early on, it was clear that Tony Stark had a unique gift--",MALE
24,NARRATOR,"At seventeen he graduated summa cum laude from MIT.  Four years later, tragedy would pass the Stark mantle from father to son--",MALE
25,NARRATOR,The loss of a titan.  But Tony did not let personal grief distract him from his duty --,MALE
26,NARRATOR,"At twenty-one, he became the youngest-ever CEO of a Fortune 500 company.  And with it came a new mandate --",MALE
27,NARRATOR,"Smarter weapons, fewer casualties. A dedication to preserving life.",MALE
28,NARRATOR,Today Tony Stark’s ingenuity continues to protect freedom and American interest around the globe.,MALE
29,JAMES RHODES,"As Program Manager and Liaison to Stark Industries, I’ve had the honor of serving with a real patriot, a man whose life has been dedicated to protecting our troops on the front lines.  He’s a friend. And a great mentor.  A man who has always been there for his friends and his country.  Ladies and gentlemen, this year’s ARES Award winner -- Mr. Tony Stark.",MALE
30,OBADIAH,"Thank you...I, uhhh, I’m not Tony Stark, but if I were TONY STARK, I’d tell you how honored I am and...what a joy it is to receive this award. The best thing about Tony is also the worst thing -- he’s always working.",MALE
31,TONY STARK,"...you think we’re having a ‘moment’ here, but this is actually the logical conclusion of several mathematical truisms. Your hypothalamus is flooding your system with a chain of proteins called peptides, so that every cell in your body is opening itself up to the happy chemical: oxytocin. ",MALE
32,WOMAN,That’s...wow....,FEMALE
33,TONY STARK,Hold on a second --,MALE
34,TONY STARK,"-- so now your limbic system is positively...throbbing.  A Kirlian photograph of us right now, occupying this space, would show serious subatomic particles being exchanged between us, with a rapidity that transcends-- Are you getting this?  You will be quizzed --",MALE
35,TONY STARK,"My God, what are you, they roped you into this thing too? ",MALE
36,JAMES RHODES,Yeah.  They said you’d be deeply honored if I presented.,MALE
37,TONY STARK,"Okay, let’s do it.",MALE
38,TONY STARK,"That was quick.  Thought there’d be more of, you know, a ceremony. Maybe a highlight reel --",MALE
39,TONY STARK,Colore me up.,MALE
40,TONY STARK,"My chaperone has just arrived with my Degenerate of the Year Award.  Judging from his look, I may have just peed in the kiddie pool.",MALE
41,TONY STARK,"I must now take my ease, along with the House’s funds.",MALE
42,JAMES RHODES,A lot of people would kill to have their name on that award.,MALE
43,TONY STARK,It belongs to my old man.  They should have given it to him.,MALE
44,JAMES RHODES,"What’s wrong with you?  A thousand people came here tonight to honor you, and you leave them with egg on their face.  This award means something, TONY STARK, it’s bigger than you -- ",MALE
45,TONY STARK,Hold that thought a sec.,MALE
46,TONY STARK,Put it all on black.  Don’t worry -- it’s approved.,MALE
47,JAMES RHODES,...you just blew three million.,MALE
48,TONY STARK,Yeah.  Don’t know what was more exciting -- winning it...or the fact that I don’t care I just lost it.,MALE
49,JAMES RHODES,Everything’s funny to you.,MALE
50,TONY STARK,No.  You’re not funny.,MALE
51,JAMES RHODES,We’ve got a hell of a day tomorrow. Can we get out of here now?,MALE
52,TONY STARK,One more stop.,MALE
53,TONY STARK,Of course I respect your opinion.,MALE
54,JAMES RHODES,This is no joke.  You’re going into a hot zone.  We should be doing this test here in Nevada.,MALE
55,TONY STARK,This system has to be demonstrated in true field conditions.,MALE
56,PEPPER POTTS,"TONY STARK, it’s the President.  Wants to congratulate you personally.  Heads up.",FEMALE
57,TONY STARK,"...Jim, how’re the trout running? Yeah, sitting on top of the world here.  Working on my masterpiece --",MALE
58,PEPPER POTTS,You’re leaving the country for a week.  I need five minutes --,FEMALE
59,TONY STARK,Okay -- shoot.,MALE
60,PEPPER POTTS,The Board meeting is on the eleventh.  Should I tell them to expect an appearance--?,FEMALE
61,WOMAN'S VOICE,Mr. Stark!,FEMALE
62,CHRISTINE EVERHART,"Christine Everhart, Vanity Fair Magazine.  Can I ask you a few questions? ",FEMALE
63,TONY STARK,Can I ask a few back?,MALE
64,CHRISTINE EVERHART,You’ve been described as a Da Vinci for our times.  What do you say to that?,FEMALE
65,TONY STARK,Ridiculous.  I don’t paint.,MALE
66,CHRISTINE EVERHART,And what do you say to your other nickname: “The Merchant of Death?”,FEMALE
67,TONY STARK,That’s not bad --,MALE
68,TONY STARK,Let me guess.  Berkeley?,MALE
69,CHRISTINE EVERHART,Brown.,FEMALE
70,TONY STARK,"Well Miss Brown, it’s an imperfect world and I assure you, the day weapons are no longer needed to keep the peace, I’ll start manufacturing bricks and beams to make baby hospitals. ",MALE
71,CHRISTINE EVERHART,"Rehearse that much, Mr. Stark? ",FEMALE
72,TONY STARK,Every night in front of the mirror. Call me Tony.,MALE
73,CHRISTINE EVERHART,"I’m sorry, “Tony”, I was hoping for a serious answer. ",FEMALE
74,TONY STARK,Here’s serious: my old man had a philosophy: peace means having a bigger stick than the other guy.,MALE
75,CHRISTINE EVERHART,"Good line, coming from the guy selling the sticks. ",FEMALE
76,TONY STARK,My father helped defeat Hitler.  He was on the Manhattan Project.  A lot of people -- including your professors at Brown -- might call that being a hero.,MALE
77,CHRISTINE EVERHART,Others might call it war- profiteering.,FEMALE
78,TONY STARK,"Tell me: do you plan to report on the millions we’ve saved by advancing medical technology?  Or kept from starving with our inteli- crops?  All were breakthroughs spawned from, that’s right, military funding. ",MALE
79,CHRISTINE EVERHART,Wow.  You ever lose an hour of sleep your whole life?,FEMALE
80,JARVIS,"I’m sorry, Miss Everhart, you are not authorized to access that area.",MALE
81,PEPPER POTTS,"Don’t worry, that’s Jarvis -- he runs the house.  Jarvis: de- activate security.",FEMALE
82,PEPPER POTTS,"Here, your clothes cleaned and pressed.  Anything else I can get you? ",FEMALE
83,CHRISTINE EVERHART,"Look, Tony wanted me to stay for breakfast, but I’ve got to get a jump on the day.  Call me a cab, would you? ",FEMALE
84,PEPPER POTTS,Cab’s waiting outside.,FEMALE
85,CHRISTINE EVERHART,"And a coffee, hon.  Black.  One Splenda. ",FEMALE
86,PEPPER POTTS,Should I tell Mr. Stark you were satisfied with the interview?,FEMALE
87,PEPPER POTTS,You still owe me five minutes--,FEMALE
88,TONY STARK,Five?  I’ll need a bit longer than that --,MALE
89,PEPPER POTTS,Focus.  I need to leave on time today.,FEMALE
90,TONY STARK,"You’re rushing me.  What, you have plans tonight? ",MALE
91,PEPPER POTTS,The MIT commencement.  Yes or no?,FEMALE
92,TONY STARK,Maybe.  Tell me your plans.,MALE
93,PEPPER POTTS,I’ll tell them ‘yes’.  You want to buy the Jackson Pollock?  He’s got another buyer in the wings --,FEMALE
94,TONY STARK,What’s it look like?,MALE
95,PEPPER POTTS,"It’s a minor work in his later Spring Period, it’s ludicrously over-priced-- ",FEMALE
96,TONY STARK,Buy it.,MALE
97,PEPPER POTTS,He left an hour ago.  Okay.  It’s Rhodey again.,FEMALE
98,TONY STARK,"You have plans, don’t you --? ",MALE
99,PEPPER POTTS,I’m allowed to have plans on my birthday.,FEMALE
100,TONY STARK,It’s your birthday again?,MALE
101,PEPPER POTTS,"Yep.  Funny, same day as last year. ",FEMALE
102,TONY STARK,"Well, get yourself something from me.  Something nice. ",MALE
103,PEPPER POTTS,Already did.,FEMALE
104,TONY STARK,And...?,MALE
105,PEPPER POTTS,"It was very tasteful, very elegant. Thank you, Mr. Stark. ",FEMALE
106,TONY STARK,"You’re welcome, Miss Potts.",MALE
107,TONY STARK,"Sorry, pal -- car trouble.",MALE
108,JAMES RHODES,"I was standing out there three hours, what the hell --? ",MALE
109,TONY STARK,I had car trouble.,MALE
110,TONY STARK,"Thanks, maybe later.",MALE
111,ATTENDANT,"Would you like a drink, Mr. Stark? ",FEMALE
112,TONY STARK,Two fingers of Laphroig.  You want one?,MALE
113,JAMES RHODES,We’re working.,MALE
114,TONY STARK,You should have a drink.  We’ve got a twelve hour flight ahead of us.,MALE
115,JAMES RHODES,It’s two in the afternoon.,MALE
116,TONY STARK,"It’s two in the morning where we’re going.  C’mon, ten hours “bottle to throttle --” ",MALE
117,JAMES RHODES,Don’t start with me.,MALE
118,TONY STARK,"Jeez, we’re not getting hammered. Just a nightcap.  We’ll sleep better, arrive fresh.  It’s the responsible thing to do. I don’t know about you, but I want to sell some weapons.",MALE
119,JAMES RHODES,"You don’t get it.  I don’t work for the military because they paid for my education, or my father’s education.  Don’t cheapen it like that. ",MALE
120,TONY STARK,"All I said was, with your smarts, your engineering background, you could write your own ticket in the private sector -- on top of which, you wouldn’t have to wear that ‘straight-jacket’. ",MALE
121,JAMES RHODES,"‘Straight-jacket’?  This uniform means something.  A chance to make a difference.  You don’t respect that, because you don’t understand. ",MALE
122,TONY STARK,"See that one?  Her I understand. Croatian.  Hot-blooded, I’m serious.  Must be those winters in Zagreb -- ",MALE
123,JAMES RHODES,You’re not listening to a word I’m saying.,MALE
124,TONY STARK,"I am listening.  I’m changing the subject.  It’s the same litany, every time you’ve had a thimble of alcohol.  Drink One: reflections on the New American Century and related topics -- ",MALE
125,JAMES RHODES,"Something’s...seriously wrong with you, man. ",MALE
126,TONY STARK,Drink 2: a history of World War II and the Tuskeegee Flyers.  Drink 3--,MALE
127,JAMES RHODES,"You know, hell with you.  I’m not talking to you anymore.",MALE
128,TONY STARK,"Go hang with the pilot.  You’ll get along, he’s got a personality just like yours. ",MALE
129,JAMES RHODES,I will.,MALE
130,JAMES RHODES,That’s funny.,MALE
131,TONY STARK,You could tell?,MALE
132,TONY STARK,"The age old question: is it better to be feared or respected?  I say, is it too much to ask for both?",MALE
133,TONY STARK,"With that in mind, I humbly present the crown jewel of Stark Industries Freedom Line.  It’s the first missile system to incorporate my proprietary Repulsor Technology. They say the best weapon is one you never have to fire.  I prefer the one you only have to fire once...",MALE
134,TONY STARK,"That’s how dad did it, it’s how America does it, and so far its worked out pretty well. Find an excuse to fire off one of these and I personally guarantee the enemy is not gonna want to leave their caves.",MALE
135,TONY STARK,"For your consideration, the Jericho...",MALE
136,TONY STARK,Now there’s one last creation I haven’t shown anyone yet.  You might be interested...,MALE
137,TONY STARK,"To peace, gentlemen...and with every five hundred million, I’ll throw in a free one of these... ",MALE
138,TONY STARK,"Hey, what are you doing up? ",MALE
139,OBADIAH,Sleeping.  How did it go?,MALE
140,TONY STARK,I think we got an early Christmas coming.,MALE
141,OBADIAH,Sounds good.,MALE
142,TONY STARK,"Hey, why aren’t you wearing the PJs I got you? ",MALE
143,OBADIAH,"I don’t do monograms.  I’m hanging up now, bye-bye.",MALE
144,TONY STARK,"All right, who wants to ride with me?  Jimmy? ",MALE
145,JIMMY,Me?,MALE
146,TONY STARK,"Sorry, JAMES RHODES, no room for my conscience in here.  Or that hang- dog look.  See you back at base.",MALE
147,TONY STARK,...water...water.,MALE
148,HO YINSEN,I wouldn’t do that if I were you.,MALE
149,TONY STARK,What have you done to me?,MALE
150,HO YINSEN,"What did I do?  I removed what I could, but there’s a lot left headed for you atrial septum.  Do you want a souvenir?",MALE
151,HO YINSEN,"I’ve seen many wounds like this in my village.  The walking dead we called them, because it took a week for the barbs to reach vital organs.  I anchored a magnetic suspension system to the plate. It’s holding the shrapnel in place...at least for now.",MALE
152,HO YINSEN,"That’s right, smile.  We met once -- at a technical conference in Bern. ",MALE
