,Unnamed: 0,character,line,gender
0,0,JANE,Hurry!,FEMALE
1,1,JANE,Oh-- watch your head.,FEMALE
2,2,SELVIG,"Thanks. So what's this ""anomaly"" of yours supposed to look like? ",FEMALE
3,3,JANE,"It's a little different each time. Once it looked like, I don't know, melted stars, pooling in a corner of the sky. But last week it was a rolling rainbow ribbon-- ",FEMALE
4,4,SELVIG,"Racing ˜round Orion?"" I've always said you should have been a poet.",FEMALE
5,5,JANE,"Hey, Darcy. Pass up the bubbly and my gloves, will you?",FEMALE
6,6,JANE,Not until you see it!,FEMALE
7,7,SELVIG,I recognize those. Think how proud he'd be to see you now.,FEMALE
8,8,JANE,Thank you.,FEMALE
9,9,SELVIG,For what?,FEMALE
10,10,JANE,The benefit of the doubt.,FEMALE
11,11,JANE,It's never taken this long before.,FEMALE
12,12,DARCY,Can I turn on the radio?,MALE
13,13,JANE,"Sure, if you like rocking out to KFRM, ""All agriculture, all the time.""",FEMALE
14,14,JANE,The anomalies are always precipitated by geomagnetic storms.,FEMALE
15,15,JANE,The last seventeen occurrences have been predictable to the minute... I just don't understand.,FEMALE
16,16,DARCY,Jane? ,MALE
17,17,JANE,There's got to be some new variable... Or an equipment malfunction...,FEMALE
18,18,DARCY,I don't think there's anything wrong with your equipment...,MALE
19,19,DARCY,Jane?,MALE
20,20,JANE,What?!,FEMALE
21,21,DARCY,I think you want to see this.,MALE
22,22,JANE,Holy. Shatner.,FEMALE
23,23,SELVIG,"That's your ""subtle"" aurora?! ",FEMALE
24,24,JANE,No-- yes! Let's go!,FEMALE
25,25,JANE,Isn't this great?!,FEMALE
26,26,JANE,"You're seeing it too, right? I'm not crazy? ",FEMALE
27,27,SELVIG,That's debateable. Put your seat belt on!,FEMALE
28,28,JANE,You've gotta get us closer so I can take a magnetic reading.,FEMALE
29,29,DARCY,"Yeah, right! Good one! Oh God, you're serious... ",MALE
30,30,JANE,You want those college credits or not?,FEMALE
31,31,DARCY,Keep the credits. I'll intern at Burger King.,MALE
32,32,JANE,What are you doing?!,FEMALE
33,33,DARCY,Saving our lives!,MALE
34,34,DARCY,I think that was legally your fault.,MALE
35,35,JANE,Get the first aid kit.,FEMALE
36,36,JANE,"Come on, big guy. Do me a favor and don't be dead, okay? Open your eyes and look at me. ",FEMALE
37,37,DARCY,Wow. Does he need CPR? Because I know CPR.,MALE
38,38,JANE,HIS EYES--,FEMALE
39,39,DARCY,--are beautiful.,MALE
40,40,JANE,--are dilating. That's a good sign.,FEMALE
41,41,SELVIG,We still have to get him to a hospital.,FEMALE
42,42,JANE,After we get a reading on the storm?,FEMALE
43,43,SELVIG,"Immediately, Jane.",FEMALE
44,44,JANE,Where did he come from?,FEMALE
45,45,HEIMDALL,"Questions, they've always asked questions -- this race called man, on this planet they call earth. Passionately longing to know how they are connected to the heavens.",MALE
