,character,line,gender
0,ODIN,"Long before the birth of light there was darkness, and from that darkness, came the Dark Elves. Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night.",MALE
1,ODIN,"Such evil was possible through the power of the Aether, an ancient force of infinite destruction.",MALE
2,ODIN,"The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures.",MALE
3,KURSE,Malekith! Asgard's forces are upon us.,MALE
4,MALEKITH,Send the Kursed.,MALE
5,ODIN,"As the Nine Worlds converged above him, Malekith could at last unleash the Aether...",MALE
6,ODIN,"But Asgard ripped the weapon from his grasp. Without it, the Dark Elves fell. With the battle all but lost, Malekith sacrificed his own people in a desperate attempt to lay waste to Asgard's army.",MALE
7,MALEKITH,Their deaths will mean our survival. This war is far from over.,MALE
8,ODIN,"Malekith was vanquished, and the Aether was no more. Or so we were led to believe.",MALE
9,ASGARDIAN EINHERJAR,"Sire, the Aether. Shall we destroy it?",MALE
10,BOR,If only we could. But its power is too great. Bury it deep. Somewhere no one will ever find it.,MALE
11,FRIGGA,Loki.,MALE
12,LOKI,"Hello, mother. Have I made you proud?",MALE
13,FRIGGA,"Please, don't make this worse.",MALE
14,LOKI,Define worse.,MALE
15,ODIN,Enough! I will speak to the prisoner alone.,MALE
16,LOKI,I really don't see what all the fuss is about.,MALE
17,ODIN,"Do you not truly feel the gravity of your crimes? Wherever you go there is war, ruin and death.",MALE
18,LOKI,I went down to Midgard to rule the people of Earth as a benevolent god. Just like you.,MALE
19,ODIN,"We are not gods. We are born, we live, we die. Just as humans do.",MALE
20,LOKI,Give or take 5000 years.,MALE
21,ODIN,All this because Loki desires a throne.,MALE
22,LOKI,It is my birthright.,MALE
23,ODIN,Your birthright was to die as a child. Cast out onto a frozen rock. If I had not taken you in you would not be here now to hate me.,MALE
24,LOKI,"If I am for the axe, then for mercy's sake, just swing it. It's not that I don't love our little talks, it's just ... I don't love them.",MALE
25,ODIN,Frigga is the only reason you are still alive and you will never see her again. You will spend the rest of your days in the dungeons.,MALE
26,LOKI,And what of Thor? You'll make that witless oaf king while I rot in chains?,MALE
27,ODIN,"Thor must strife to undo the damage you have done. He will bring order to the nine realms and then, yes. He will be king.",MALE
28,SIF,I've got this completely under control!,FEMALE
29,THOR,Is that why everything is on fire?,MALE
30,SIF,You're welcome.  All yours.,FEMALE
31,THOR,Hello.  I accept your surrender.,MALE
32,THOR,Anyone else?,MALE
33,FANDRAL,Perhaps next time we should start with the big one.,MALE
34,GUARD,Keep moving. Come on! Keep moving. Go ahead of me. Don't you turn around!,MALE
35,HOGUN,Where do we go next?,MALE
36,THOR,"Hogun, the peace is nearly won across the Nine Realms. You should stay here. Be with your people, where your heart is. Asgard can wait.",MALE
37,HOGUN,You have my thanks.,MALE
38,THOR,"As you have mine. Heimdall, when you're ready.",MALE
39,ODIN,Is Vanaheim secure?,MALE
40,THOR,As are Nornheim and Ria. Though our work would have gone more quickly with you at the fore.,MALE
41,ODIN,You must think I'm a piece of bread that needs to be buttered so heavily.,MALE
42,THOR,That was not my intent.,MALE
43,ODIN,"For the first time since the Bifrost was destroyed, the Nine Realms are at peace. They're well reminded of our strength and you have earned their respect and my gratitude.",MALE
44,THOR,Thank you.,MALE
45,ODIN,Nothing out of order except your confused and distracted heart.,MALE
46,THOR,"This isn't about JANE, Father.",MALE
47,ODIN,"Human lives are fleeting, they are nothing. You'd be better served by what lies in front of you  I'm telling you this not as the all-father but as your father. You are ready. The time has come for you to take the throne. Embrace and celebrate what you've won. Join your warriors. Eat and drink, revel in their celebration. At least pretend to enjoy yourself.",MALE
48,SIF,There was a time you would celebrate for weeks.,FEMALE
49,THOR,I remember you celebrated the battle of Haragon so much that you nearly started a second.,MALE
50,SIF,"Well, the first was so much fun.",FEMALE
51,SIF,Take a drink with me. Surely the All-Father could have no further task for you tonight.,FEMALE
52,THOR,"No, this is one I set myself.",MALE
53,SIF,It has not gone unnoticed that you disappear each night. There are Nine Realms. Future king of Asgard must focus on more than one.,FEMALE
54,THOR,"I thank you for your sword and for your counsel, good Lady Sif.",MALE
55,RICHARD,Hi.,MALE
56,JANE,Hi.,FEMALE
57,RICHARD,So what's the story with you?,MALE
58,JANE,"Why does there have to be a story, there's no story.",FEMALE
59,RICHARD,"You've spent the first ten minutes of our date hiding behind a menu that has three choices on it. It's either chicken, vegetarian or fish, Jane. I think there's a story and I'm thinking the story involves a guy?",MALE
60,JANE,It's complicated.,FEMALE
61,RICHARD,Is he still around?,MALE
62,JANE,"No, he...went away.",FEMALE
63,RICHARD,"I've been there. The going away, it's hard. I'd been seeing a woman and uh...she took a job in New York, eventually the distance killed it. And...and the fact that she uh...she kept sleeping with other dudes.",MALE
64,JANE,No!,FEMALE
65,RICHARD,"Oh, so many.",MALE
66,RICHARD,Hi. Um...could we get some wine please?,MALE
67,DARCY LEWIS,"Sure, I'd love some.",FEMALE
68,JANE,"Richard, this is Darcy.  What are you doing here?",FEMALE
69,RICHARD,"Oh, hello.",MALE
70,DARCY LEWIS,"So, I show up to work at the lab-slash-your mom's house, fully expecting you to be moping around in your pajamas eating ice cream obsessing about you know who...",FEMALE
71,RICHARD,Ah.,MALE
