,character,line,gender
0,STEVE ROGERS,On your left.,MALE
1,STEVE ROGERS,On your left.,MALE
2,SAM WILSON,"Uh-huh, on my left. Got it.",MALE
3,SAM WILSON,Don't say it! Don't you say it!,MALE
4,STEVE ROGERS,On your left!,MALE
5,SAM WILSON,Come on!,MALE
6,STEVE ROGERS,Need a medic?,MALE
7,SAM WILSON,"I need a new set of lungs. Dude, you just ran like 13 miles in 30 minutes.",MALE
8,STEVE ROGERS,I guess I got a late start.,MALE
9,SAM WILSON,"Oh, really? You should be ashamed of yourself. You should take another lap.",MALE
10,SAM WILSON,Did you just take it? I assumed you just took it.,MALE
11,STEVE ROGERS,What unit you with?,MALE
12,SAM WILSON,"58, Pararescue. But now I'm working down at the VA.",MALE
13,SAM WILSON,Sam Wilson.,MALE
14,STEVE ROGERS,Steve Rogers.,MALE
15,SAM WILSON,Yeah I kind of put that together. Must have freaked you out coming home after the whole defrosting thing.,MALE
16,STEVE ROGERS,"It takes some getting used to. It's good to meet you, Sam.",MALE
17,SAM WILSON,"It's your bed, right?",MALE
18,STEVE ROGERS,What's that?,MALE
19,SAM WILSON,"Your bed, it's too soft. When I was over there I'd sleep on the ground and use rock for pillows, like a caveman. Now I'm home, lying in my bed, and it's like...",MALE
20,STEVE ROGERS,Lying on a marshmallow. Feel like I'm gonna sink right to the floor.,MALE
21,STEVE ROGERS,How long?,MALE
22,SAM WILSON,Two tours.,MALE
23,SAM WILSON,"You must miss the good old days, huh?",MALE
24,STEVE ROGERS,"Well, things aren't so bad. Food's a lot better, we used to boil everything. No polio is good. Internet, so helpful. I've been reading that a lot trying to catch up.",MALE
25,SAM WILSON,"Marvin Gaye, 1972, ""Trouble Man"" soundtrack. Everything you've missed jammed into one album.",MALE
26,STEVE ROGERS,I'll put it on the list.,MALE
27,TEXT MESSAGE,Mission alert. Extraction imminent. Meet at the curb. :),NEUTRAL
28,STEVE ROGERS,"Alright, Sam, duty calls. Thanks for the run. If that's what you wanna call running.",MALE
29,SAM WILSON,"Oh, that's how it is?",MALE
30,STEVE ROGERS,"Oh, that's how it is.",MALE
